Unnamed: 0,NYG,PHI
First Downs,14,25
Rush-Yds-TDs,25-102-0,40-177-1
Cmp-Att-Yd-TD-INT,16-23-254-4-0,20-30-211-0-3
Sacked-Yards,3-22,2-12
Net Pass Yards,232,199
Total Yards,334,376
Fumbles-Lost,0-0,3-0
Turnovers,0,3
Penalties-Yards,4-21,7-36
Third Down Conv.,5-12,7-15
Fourth Down Conv.,0-1,1-2
Time of Possession,23:09,36:51
