Unnamed: 0,NWE,BUF
First Downs,20,22
Rush-Yds-TDs,34-188-2,38-190-3
Cmp-Att-Yd-TD-INT,15-25-174-0-0,11-18-154-0-1
Sacked-Yards,2-13,1-5
Net Pass Yards,161,149
Total Yards,349,339
Fumbles-Lost,1-1,0-0
Turnovers,1,1
Penalties-Yards,5-35,5-30
Third Down Conv.,5-10,5-11
Fourth Down Conv.,0-0,0-0
Time of Possession,30:46,29:14
