Quarter,Time,Tm,Detail,NWE,BUF
1.0,5:29,Bills,Zack Moss 8 yard rush (Tyler Bass kick),0,7
2.0,10:50,Patriots,Nick Folk 43 yard field goal,3,7
,0:08,Patriots,Nick Folk 33 yard field goal,6,7
3.0,12:09,Bills,Zack Moss 4 yard rush (Tyler Bass kick),6,14
,3:03,Patriots,Damien Harris 22 yard rush (Jakobi Meyers pass from Cam Newton),14,14
4.0,13:12,Bills,Josh Allen 2 yard rush (Tyler Bass kick),14,21
,9:36,Patriots,Cam Newton 2 yard rush (Nick Folk kick),21,21
,4:06,Bills,Tyler Bass 28 yard field goal,21,24
