Unnamed: 0,MIA,SDG
First Downs,14,18
Rush-Yds-TDs,27-81-0,31-104-1
Cmp-Att-Yd-TD-INT,20-29-192-3-0,19-30-190-0-3
Sacked-Yards,1-9,6-44
Net Pass Yards,183,146
Total Yards,264,250
Fumbles-Lost,1-1,1-0
Turnovers,1,3
Penalties-Yards,8-47,6-35
Third Down Conv.,7-14,3-14
Fourth Down Conv.,0-1,0-2
Time of Possession,28:12,31:48
