Quarter,Time,Down,ToGo,Location,MIA,SDG,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chargers won the coin toss, Chargers to receive the opening kickoff.",,
1,15:00,,,MIA 30,0,0,"Olindo Mare kicks off 67 yards, returned by Tim Dwight for 21 yards (tackle by Trent Gamble)",0.000,0.540
1,14:54,1,10,SDG 24,0,0,LaDainian Tomlinson right tackle for 2 yards (tackle by Tim Bowens),0.540,0.270
1,14:17,2,8,SDG 26,0,0,LaDainian Tomlinson left end for 6 yards (tackle by Brock Marion),0.270,0.370
1,13:54,3,2,SDG 32,0,0,Drew Brees pass incomplete intended for David Boston is intercepted by Patrick Surtain at SDG-38 and returned for 32 yards (tackle by Tim Dwight),0.370,-5.830
1,13:43,1,6,SDG 6,0,0,Ricky Williams right tackle for 1 yard (tackle by Marcellus Wiley),5.830,5.150
1,13:03,2,5,SDG 5,6,0,"Brian Griese pass complete to Chris Chambers for 5 yards, touchdown",5.150,7.000
1,,,,SDG 2,7,0,Olindo Mare kicks extra point good,0.000,0.000
1,,,,MIA 30,7,0,"Olindo Mare kicks off 75 yards, touchback",0.000,0.280
1,12:58,1,10,SDG 20,7,0,LaDainian Tomlinson right tackle for 5 yards (tackle by Patrick Surtain),0.280,0.410
1,12:25,2,5,SDG 25,7,0,LaDainian Tomlinson up the middle for 2 yards (tackle by Larry Chester),0.410,-0.030
1,11:47,3,3,SDG 27,7,0,Drew Brees pass complete to Eric Parker for 3 yards (tackle by Travis Minor),-0.030,0.940
1,11:07,1,10,SDG 30,7,0,Drew Brees pass complete to LaDainian Tomlinson for 5 yards (tackle by Morlon Greenwood),0.940,1.070
1,10:40,2,5,SDG 35,7,0,Drew Brees pass incomplete intended for LaDainian Tomlinson is intercepted by Zach Thomas at SDG-43 and returned for 19 yards (tackle by Cory Raymer),1.070,-3.970
1,10:25,1,10,SDG 24,7,0,Ricky Williams right tackle for no gain (tackle by Kwamie Lassiter),3.970,3.430
1,9:49,2,10,SDG 24,7,0,Brian Griese pass complete to Randy McMichael for 7 yards (tackle by Donnie Edwards),3.430,3.750
1,9:09,3,3,SDG 17,7,0,Brian Griese sacked by DeQuincy Scott for -9 yards,3.750,1.740
1,8:38,4,12,SDG 26,10,0,Olindo Mare 44 yard field goal good,1.740,3.000
1,,,,MIA 30,10,0,"Olindo Mare kicks off 72 yards, returned by Tim Dwight for 25 yards (tackle by Brendon Ayanbadejo)",0.000,0.480
1,8:28,1,10,SDG 23,10,0,"Penalty on Damion McIntosh: False Start, 5 yards (no play)",0.480,0.000
1,8:28,1,15,SDG 18,10,0,LaDainian Tomlinson left tackle for 3 yards (tackle by Brock Marion),0.000,-0.340
1,7:49,2,12,SDG 21,10,0,Drew Brees pass complete to Lorenzo Neal for 2 yards (tackle by Zach Thomas),-0.340,-0.760
1,7:08,3,10,SDG 23,10,0,Drew Brees pass complete to Eric Parker for 23 yards (tackle by Sam Madison),-0.760,1.990
1,6:23,1,10,SDG 46,10,0,LaDainian Tomlinson up the middle for no gain (tackle by Jason Taylor),1.990,1.450
1,5:43,2,10,SDG 46,10,0,Drew Brees pass complete to LaDainian Tomlinson for 12 yards (tackle by Brock Marion),1.450,2.790
1,5:02,1,10,MIA 42,10,0,Lorenzo Neal up the middle for 4 yards (tackle by Jason Taylor),2.790,2.780
1,4:21,2,6,MIA 38,10,0,LaDainian Tomlinson right tackle for no gain (tackle by Junior Seau),2.780,2.080
1,3:43,3,6,MIA 38,10,0,Tim Dwight for 5 yards (tackle by Sam Madison),2.080,1.210
1,3:43,4,1,MIA 33,10,3,Steve Christie 51 yard field goal good,1.210,3.000
1,,,,SDG 30,10,3,"Mike Scifres kicks off 64 yards, returned by Travis Minor for 19 yards (tackle by Stephen Cooper). Penalty on Carlos Polk: Offside on Free Kick, 5 yards (no play)",0.000,0.000
1,,,,SDG 25,10,3,"Mike Scifres kicks off 65 yards, returned by Travis Minor for 25 yards (tackle by Kassim Osgood)",0.000,1.270
1,3:03,1,10,MIA 35,10,3,Ricky Williams left end for -5 yards (tackle by Ben Leber),1.270,0.050
1,2:38,2,15,MIA 30,10,3,Brian Griese pass complete to Ricky Williams for 11 yards (tackle by Zeke Moreno),0.050,0.830
1,1:59,3,4,MIA 41,10,3,Brian Griese pass complete to James McKnight for 11 yards (tackle by Sammy Davis),0.830,2.390
1,1:22,1,10,SDG 48,10,3,Brian Griese pass complete to Chris Chambers for 18 yards (tackle by Quentin Jammer),2.390,3.580
1,0:57,1,10,SDG 30,10,3,Brian Griese pass complete to James McKnight for 10 yards (tackle by Quentin Jammer),3.580,4.240
1,0:34,1,10,SDG 20,10,3,Ricky Williams up the middle for 9 yards (tackle by Jerry Wilson and Kwamie Lassiter),4.240,5.260
Quarter,Time,Down,ToGo,Location,MIA,SDG,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,1,SDG 11,10,3,Ricky Williams right tackle for 3 yards (tackle by Kwamie Lassiter),5.260,5.370
2,14:24,1,8,SDG 8,10,3,Brian Griese pass incomplete intended for Ricky Williams (defended by Donnie Edwards),5.370,4.570
2,14:18,2,8,SDG 8,10,3,Ricky Williams up the middle for 6 yards (tackle by Zeke Moreno),4.570,4.950
2,13:33,3,2,SDG 2,16,3,"Brian Griese pass complete to James McKnight for 2 yards, touchdown",4.950,7.000
2,,,,SDG 2,17,3,Olindo Mare kicks extra point good,0.000,0.000
2,,,,MIA 30,17,3,"Olindo Mare kicks off 70 yards, returned by Tim Dwight for 27 yards (tackle by Arturo Freeman)",0.000,0.740
2,13:21,1,10,SDG 27,17,3,LaDainian Tomlinson left tackle for -2 yards (tackle by Jason Taylor),0.740,-0.070
2,12:38,2,12,SDG 25,17,3,Drew Brees pass incomplete intended for LaDainian Tomlinson (defended by Terrell Buckley),-0.070,-0.760
2,12:31,3,12,SDG 25,17,3,Drew Brees pass incomplete intended for Eric Parker,-0.760,-1.700
2,12:23,4,12,SDG 25,17,3,"Darren Bennett punts 51 yards, returned by Sam Simmons for 12 yards (tackle by David Binn)",-1.700,-1.330
2,12:14,1,10,MIA 36,17,3,Chris Chambers for 7 yards,1.330,1.740
2,11:46,2,3,MIA 43,17,3,"Ricky Williams left tackle for 7 yards (tackle by Kevin House). Penalty on Tim Ruddy: Offensive Holding, 10 yards (no play)",1.740,0.390
2,11:22,2,13,MIA 33,17,3,Brian Griese pass complete to Ricky Williams for -2 yards (tackle by Kevin House),0.390,-0.560
2,10:39,3,15,MIA 31,17,3,Brian Griese pass complete to Randy McMichael for 10 yards (tackle by Jerry Wilson),-0.560,-0.650
2,10:16,4,5,MIA 41,17,3,"Matt Turk punts 35 yards, returned by Eric Parker for 1 yard (tackle by Shawn Wooden). Penalty on James McKnight: Illegal Use of Hands, 5 yards",-0.650,-0.940
2,10:10,1,10,SDG 30,17,3,LaDainian Tomlinson up the middle for 4 yards (tackle by Zach Thomas),0.940,0.930
2,9:32,2,6,SDG 34,17,3,Drew Brees pass complete to David Boston for 28 yards (tackle by Sammy Knight),0.930,3.050
2,8:47,1,10,MIA 38,17,3,LaDainian Tomlinson up the middle for 3 yards (tackle by Morlon Greenwood),3.050,2.910
2,8:06,2,7,MIA 35,17,3,Drew Brees pass complete to LaDainian Tomlinson for 10 yards (tackle by Morlon Greenwood),2.910,3.910
2,7:39,1,10,MIA 25,17,3,LaDainian Tomlinson up the middle for no gain (tackle by Zach Thomas),3.910,3.360
2,7:07,2,10,MIA 25,17,3,"Drew Brees pass incomplete intended for LaDainian Tomlinson. Penalty on Cory Raymer: Ineligible Downfield Pass, 5 yards (no play)",3.360,2.690
2,7:00,2,15,MIA 30,17,3,Drew Brees pass incomplete intended for LaDainian Tomlinson (defended by Zach Thomas),2.690,2.010
2,6:52,3,15,MIA 30,17,3,Drew Brees pass complete to David Boston for 12 yards (tackle by Patrick Surtain),2.010,2.350
2,6:19,,,,17,3,Timeout #1 by San Diego Chargers,0.000,2.350
2,6:19,4,3,MIA 18,17,3,"Penalty on Jason Taylor: Neutral Zone Infraction, 5 yards (no play)",2.350,4.710
2,6:19,1,10,MIA 13,17,3,LaDainian Tomlinson up the middle for 3 yards (tackle by Morlon Greenwood),4.710,4.580
