Unnamed: 0,KAN,DET
First Downs,25,12
Rush-Yds-TDs,18-63-1,32-137-1
Cmp-Att-Yd-TD-INT,33-48-374-2-1,9-16-115-0-1
Sacked-Yards,4-30,2-16
Net Pass Yards,344,99
Total Yards,407,236
Fumbles-Lost,1-0,1-0
Turnovers,1,1
Penalties-Yards,6-46,4-20
Third Down Conv.,5-14,3-11
Fourth Down Conv.,1-2,0-0
Time of Possession,32:05,27:55
