Unnamed: 0,TEN,JAX
First Downs,19,27
Rush-Yds-TDs,19-95-1,30-137-1
Cmp-Att-Yd-TD-INT,29-48-284-1-2,27-37-323-3-0
Sacked-Yards,0-0,2-18
Net Pass Yards,284,305
Total Yards,379,442
Fumbles-Lost,1-1,1-1
Turnovers,3,1
Penalties-Yards,6-68,4-30
Third Down Conv.,8-16,6-13
Fourth Down Conv.,1-2,0-0
Time of Possession,25:53,34:07
