Quarter,Time,Tm,Detail,TEN,JAX
1.0,10:02,Jaguars,Josh Scobee 22 yard field goal,0,3
,6:34,Jaguars,Maurice Jones-Drew 9 yard rush (Josh Scobee kick),0,10
2.0,9:11,Titans,Rob Bironas 29 yard field goal,3,10
,7:35,Jaguars,Mike Sims-Walker 9 yard pass from David Garrard (Josh Scobee kick),3,17
,3:21,Jaguars,Josh Scobee 50 yard field goal,3,20
,0:27,Jaguars,Mike Sims-Walker 15 yard pass from David Garrard (Josh Scobee kick),3,27
3.0,10:05,Jaguars,Josh Scobee 33 yard field goal,3,30
,0:19,Titans,Nate Washington 14 yard pass from Kerry Collins (pass failed),9,30
4.0,5:28,Titans,Kerry Collins 10 yard rush (Chris Johnson run),17,30
,5:02,Jaguars,Marcedes Lewis 33 yard pass from David Garrard (Josh Scobee kick),17,37
