Quarter,Time,Down,ToGo,Location,OAK,IND,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Colts won the coin toss and deferred, Raiders to receive the opening kickoff.",,
1,15:00,,,IND 35,0,0,"Rigoberto Sanchez kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,OAK 25,0,0,Derek Carr pass complete short left to Darren Waller for 7 yards (tackle by Clayton Geathers),0.610,1.010
1,14:27,2,3,OAK 32,0,0,Derek Carr pass complete short middle to Foster Moreau for 4 yards (tackle by Bobby Okereke and Anthony Walker),1.010,1.330
1,13:49,1,10,OAK 36,0,0,Derek Carr pass complete short left to Hunter Renfrow for 10 yards (tackle by Rock Ya-Sin),1.330,1.990
1,13:17,1,10,OAK 46,0,0,Derek Carr pass complete short left to DeAndre Washington for 7 yards (tackle by Clayton Geathers),1.990,2.400
1,12:40,2,3,IND 47,0,0,Josh Jacobs right end for 12 yards (tackle by Khari Willis),2.400,3.250
1,11:53,1,10,IND 35,0,0,Josh Jacobs right end for 1 yard (tackle by Clayton Geathers and Anthony Walker),3.250,2.840
1,11:11,2,9,IND 34,0,0,Josh Jacobs right end for 3 yards (tackle by Jabaal Sheard and Ben Banogu),2.840,2.540
1,10:31,3,6,IND 31,0,0,Derek Carr pass complete short left to Darren Waller for 7 yards (tackle by Quincy Wilson),2.540,3.970
1,9:52,1,10,IND 24,0,0,Josh Jacobs right end for 6 yards (tackle by Denico Autry),3.970,4.290
1,9:16,2,4,IND 18,6,0,"Derek Carr pass complete deep right to Foster Moreau for 18 yards, touchdown",4.290,7.000
1,9:09,,,IND 15,7,0,Daniel Carlson kicks extra point good,0.000,0.000
1,9:09,,,OAK 35,7,0,"Daniel Carlson kicks off 65 yards, touchback.",0.000,0.610
1,9:09,1,10,IND 25,7,0,Marlon Mack right end for -2 yards (tackle by P.J. Hall),0.610,-0.210
1,8:33,2,12,IND 23,7,0,Jacoby Brissett pass incomplete short right intended for Parris Campbell,-0.210,-0.890
1,8:27,3,12,IND 23,7,0,Jacoby Brissett pass incomplete deep left intended for Jack Doyle (defended by Lamarcus Joyner),-0.890,-1.830
1,8:22,4,12,IND 23,7,0,"Rigoberto Sanchez punts 38 yards, returned by Trevor Davis for 1 yard (tackle by Ashton Dulin)",-1.830,-1.600
1,8:13,1,10,OAK 40,13,0,"Trevor Davis left end for 60 yards, touchdown",1.600,7.000
1,8:03,,,IND 15,14,0,Daniel Carlson kicks extra point good,0.000,0.000
1,8:03,,,OAK 35,14,0,"Daniel Carlson kicks off 65 yards, touchback.",0.000,0.610
1,8:03,1,10,IND 25,14,0,Marlon Mack left end for -5 yards (tackle by Josh Mauro and Clelin Ferrell),0.610,-0.610
1,7:26,2,15,IND 20,14,0,"Penalty on Mark Glowinski: False Start, 5 yards (no play)",-0.610,-1.430
1,7:07,2,20,IND 15,14,0,Jacoby Brissett pass incomplete short middle intended for Chester Rogers,-1.430,-2.350
1,7:02,3,20,IND 15,14,0,Jacoby Brissett pass incomplete deep left intended for Eric Ebron,-2.350,-2.440
1,6:55,4,20,IND 15,14,0,"Rigoberto Sanchez punts 55 yards, returned by Trevor Davis for 3 yards (tackle by Matthew Adams). Penalty on Dallin Leavitt: Illegal Block Above the Waist, 10 yards",-2.440,-0.480
1,6:42,1,10,OAK 23,14,0,Derek Carr pass incomplete short right,0.480,-0.070
1,6:39,2,10,OAK 23,14,0,"Derek Carr aborted snap, recovered by Justin Houston at OAK-22 (tackle by Darren Waller)",-0.070,-4.110
1,6:36,1,10,OAK 22,14,0,Marlon Mack right end for 18 yards (tackle by Erik Harris),4.110,6.280
1,6:05,1,4,OAK 4,14,0,Marlon Mack up the middle for -1 yards (tackle by Karl Joseph and Tahir Whitehead),6.280,5.150
1,5:28,2,5,OAK 5,14,6,"Jacoby Brissett pass complete short left to Jack Doyle for 5 yards, touchdown",5.150,7.000
1,5:22,,,OAK 15,14,7,Adam Vinatieri kicks extra point good,0.000,0.000
1,5:22,,,IND 35,14,7,"Rigoberto Sanchez kicks off 65 yards, returned by Trevor Davis for 24 yards (tackle by Rolan Milligan)",0.000,0.540
1,5:17,1,10,OAK 24,14,7,Josh Jacobs right tackle for 8 yards (tackle by E.J. Speed),0.540,1.080
1,4:44,2,2,OAK 32,14,7,Derek Carr pass incomplete short left,1.080,0.370
1,4:38,3,2,OAK 32,14,7,Jalen Richard right end for 3 yards (tackle by Kenny Moore),0.370,1.270
1,3:59,1,10,OAK 35,14,7,Derek Carr pass complete short left to Tyrell Williams for -1 yards (tackle by Khari Willis),1.270,0.590
1,3:20,2,11,OAK 34,14,7,Derek Carr pass complete short middle to Darren Waller for 17 yards (tackle by Clayton Geathers),0.590,2.320
1,2:43,1,10,IND 49,14,7,Jalen Richard right end for 13 yards (tackle by Rock Ya-Sin and Khari Willis),2.320,3.180
1,2:02,1,10,IND 36,14,7,Jalen Richard right end for no gain (tackle by Anthony Walker),3.180,2.640
1,1:15,2,10,IND 36,14,7,Derek Carr pass complete short left to Darren Waller for 15 yards (tackle by Khari Willis),2.640,4.170
1,0:42,1,10,IND 21,14,7,Josh Jacobs right end for 3 yards (tackle by Rock Ya-Sin),4.170,4.040
Quarter,Time,Down,ToGo,Location,OAK,IND,Detail,EPB,EPA
