Unnamed: 0,OAK,IND
First Downs,21,22
Rush-Yds-TDs,32-188-1,23-81-0
Cmp-Att-Yd-TD-INT,21-31-189-2-0,24-46-265-3-1
Sacked-Yards,1-0,0-0
Net Pass Yards,189,265
Total Yards,377,346
Fumbles-Lost,1-1,2-1
Turnovers,1,2
Penalties-Yards,11-80,5-35
Third Down Conv.,5-12,6-16
Fourth Down Conv.,1-1,3-3
Time of Possession,33:41,26:19
