Quarter,Time,Tm,Detail,OAK,IND
1.0,9:09,Raiders,Foster Moreau 18 yard pass from Derek Carr (Daniel Carlson kick),7,0
,8:03,Raiders,Trevor Davis 60 yard rush (Daniel Carlson kick),14,0
,5:22,Colts,Jack Doyle 5 yard pass from Jacoby Brissett (Adam Vinatieri kick),14,7
2.0,14:13,Raiders,Tyrell Williams 19 yard pass from Derek Carr (Daniel Carlson kick),21,7
,7:33,Colts,Adam Vinatieri 26 yard field goal,21,10
3.0,3:14,Raiders,Daniel Carlson 26 yard field goal,24,10
4.0,5:27,Colts,Chester Rogers 4 yard pass from Jacoby Brissett (Adam Vinatieri kick),24,17
,2:09,Raiders,Erik Harris 30 yard interception return (Daniel Carlson kick),31,17
,1:10,Colts,Eric Ebron 48 yard pass from Jacoby Brissett (Adam Vinatieri kick),31,24
