Quarter,Time,Down,ToGo,Location,DEN,MIN,Detail,EPB,EPA
,,,,,,,"Replay Assistant challenged the ruling, and the play was upheld.",,
2,,,,DEN 2,7,14,Aaron Elling kicks extra point good,0.000,0.000
Quarter,Time,Down,ToGo,Location,DEN,MIN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,DEN 30,7,14,"Micah Knorr kicks off 61 yards, returned by Keenan Howry for 8 yards, lateral to John Avery for 12 yards (tackle by Keith Burns)",0.000,0.870
3,14:52,1,10,MIN 29,7,14,"Moe Williams right guard for -4 yards (tackle by Kelly Herndon). Moe Williams fumbles (forced by Kelly Herndon), recovered by Jim Kleinsasser at MIN-25",0.870,-0.210
3,14:06,2,14,MIN 25,7,14,Moe Williams up the middle for 6 yards (tackle by Lenny Walls),-0.210,-0.100
3,13:23,3,8,MIN 31,7,14,Daunte Culpepper pass complete to Randy Moss for 20 yards (tackle by Kelly Herndon),-0.100,2.320
3,12:40,1,10,DEN 49,7,14,Onterrio Smith left guard for 11 yards (tackle by Sam Brandon),2.320,3.050
3,12:04,1,10,DEN 38,7,14,Daunte Culpepper pass incomplete intended for Nate Burleson,3.050,2.510
3,11:55,2,10,DEN 38,7,14,Daunte Culpepper pass complete to Randy Moss for 3 yards (tackle by Lenny Walls),2.510,2.210
3,11:18,3,7,DEN 35,7,14,Daunte Culpepper pass complete to Jim Kleinsasser for 13 yards (tackle by Lenny Walls),2.210,4.110
3,10:47,1,10,DEN 22,7,14,Moe Williams up the middle for 9 yards (tackle by Nick Ferguson and Trevor Pryce),4.110,5.060
3,10:06,2,1,DEN 13,7,14,Onterrio Smith up the middle for 8 yards (tackle by Nick Ferguson),5.060,6.060
3,9:29,1,5,DEN 5,7,20,"Onterrio Smith right tackle for 5 yards, touchdown",6.060,7.000
3,,,,DEN 2,7,21,Aaron Elling kicks extra point good,0.000,0.000
3,,,,MIN 30,7,21,"Jose Cortez kicks off 70 yards, returned by Chris Cole for 26 yards (tackle by Brian Williams). Penalty on Mike Nattiel: Offside on Free Kick, 5 yards (no play)",0.000,0.000
3,,,,MIN 25,7,21,"Jose Cortez kicks off 65 yards, returned by Reuben Droughns for 17 yards (tackle by Nick Rogers)",0.000,0.740
3,9:12,1,10,DEN 27,7,21,Clinton Portis right end for -2 yards (tackle by Fred Robbins and Kevin Williams),0.740,-0.070
3,8:35,2,12,DEN 25,7,21,Clinton Portis left end for 3 yards (tackle by Denard Walker),-0.070,-0.360
3,8:06,3,9,DEN 28,7,27,"Steve Beuerlein pass incomplete intended for Rod Smith is intercepted by Lance Johnstone at DEN-33 and returned for 33 yards, touchdown",-0.360,-7.000
3,,,,DEN 2,7,28,Aaron Elling kicks extra point good,0.000,0.000
3,,,,MIN 30,7,28,"Jose Cortez kicks off 68 yards, returned by Reuben Droughns for 23 yards (tackle by Jack Brewer)",0.000,0.610
3,7:52,1,10,DEN 25,7,28,Steve Beuerlein pass complete to Ashley Lelie for 5 yards (tackle by Brian Williams),0.610,0.740
3,7:08,2,5,DEN 30,7,28,Steve Beuerlein pass incomplete intended for Rod Smith,0.740,0.040
3,7:03,3,5,DEN 30,7,28,Steve Beuerlein pass complete to Ashley Lelie for 25 yards (tackle by Ken Irvin),0.040,2.590
3,6:18,1,10,MIN 45,7,28,Steve Beuerlein pass complete to Shannon Sharpe for 13 yards (tackle by Henri Crockett),2.590,3.450
3,5:42,,,,7,28,Timeout #1 by Denver Broncos,0.000,3.450
3,5:42,1,10,MIN 32,7,28,"Steve Beuerlein pass incomplete intended for Shannon Sharpe. Penalty on Brian Russell: Defensive Holding, 5 yards (no play)",3.450,3.780
3,5:37,1,10,MIN 27,7,28,Steve Beuerlein pass incomplete intended for Ashley Lelie,3.780,3.230
3,5:33,2,10,MIN 27,7,28,Steve Beuerlein pass incomplete intended for Rod Smith,3.230,2.540
3,5:29,3,10,MIN 27,7,28,Steve Beuerlein pass incomplete intended for Adrian Madise,2.540,1.670
3,5:24,4,10,MIN 27,10,28,Jason Elam 46 yard field goal good,1.670,3.000
3,,,,DEN 30,10,28,"Micah Knorr kicks off 69 yards, returned by John Avery for 24 yards (tackle by Donnie Spragan)",0.000,0.610
3,5:13,1,10,MIN 25,10,28,"Daunte Culpepper pass complete to Randy Moss for 8 yards (tackle by Kelly Herndon). Penalty on Kelly Herndon: Tripping, 10 yards",0.610,1.800
3,4:52,1,10,MIN 43,10,28,"Moe Williams up the middle for 3 yards (tackle by Jashon Sykes and Daryl Gardener). Penalty on Kelly Campbell: Unnecessary Roughness, 15 yards",1.800,-0.370
3,4:31,2,22,MIN 31,10,28,Daunte Culpepper pass complete to Randy Moss for 4 yards (tackle by Al Wilson),-0.370,-0.490
3,3:48,3,18,MIN 35,10,28,Daunte Culpepper pass incomplete intended for Jim Kleinsasser,-0.490,-1.040
3,3:42,4,18,MIN 35,10,28,"Eddie Johnson punts 43 yards, fair catch by Deltha O'Neal. Penalty on Brian Williams: Fair Catch Interference, 15 yards",-1.040,-1.400
3,3:31,1,10,DEN 37,10,28,Steve Beuerlein pass incomplete intended for Ashley Lelie,1.400,0.860
3,3:24,2,10,DEN 37,10,28,Clinton Portis up the middle for 17 yards (tackle by Corey Chavous),0.860,2.520
3,2:47,1,10,MIN 46,10,28,Clinton Portis right end for no gain (tackle by Chris Claiborne and Fred Robbins),2.520,1.980
3,2:10,2,10,MIN 46,10,28,Danny Kanell pass incomplete (defended by Chris Claiborne),1.980,1.290
3,2:06,3,10,MIN 46,10,28,Danny Kanell pass complete to Shannon Sharpe for 10 yards (tackle by Ken Irvin),1.290,3.180
3,1:28,1,10,MIN 36,10,28,Danny Kanell pass complete to Shannon Sharpe for 20 yards (tackle by Brian Russell),3.180,4.510
3,0:47,1,10,MIN 16,10,28,"Danny Kanell pass complete to Rod Smith for 2 yards (tackle by Denard Walker). Penalty on Rod Smith: Taunting, 15 yards",4.510,2.200
3,0:26,2,23,MIN 29,10,28,Clinton Portis up the middle for -3 yards (tackle by Brian Williams and Kevin Williams),2.200,1.160
Quarter,Time,Down,ToGo,Location,DEN,MIN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,26,MIN 32,10,28,Danny Kanell pass complete to Shannon Sharpe for 4 yards (tackle by Greg Biekert),1.160,1.590
4,14:23,4,22,MIN 28,13,28,Jason Elam 46 yard field goal good,1.590,3.000
4,,,,DEN 30,13,28,"Micah Knorr kicks off 69 yards, returned by John Avery for 31 yards (tackle by Donnie Spragan)",0.000,1.070
4,14:10,1,10,MIN 32,13,28,"Penalty on David Dixon: False Start, 5 yards (no play)",1.070,0.740
4,14:10,1,15,MIN 27,13,28,Daunte Culpepper pass complete to Charles Stackhouse for 3 yards (tackle by Jashon Sykes),0.740,0.260
4,13:32,2,12,MIN 30,13,28,Moe Williams up the middle for -1 yards (tackle by Sam Brandon and Reggie Hayward),0.260,-0.560
4,12:48,3,13,MIN 29,13,28,"Daunte Culpepper pass complete to Jim Kleinsasser for 13 yards (tackle by John Mobley). Penalty on Matt Birk: Offensive Holding, 10 yards (no play)",-0.560,-2.010
4,12:21,3,23,MIN 19,13,28,Daunte Culpepper pass complete to Moe Williams for 8 yards (tackle by Jimmy Spencer),-2.010,-1.570
4,11:34,4,15,MIN 27,13,28,"Eddie Johnson punts 38 yards, returned by Deltha O'Neal for 4 yards (tackle by Jack Brewer)",-1.570,-1.530
4,11:23,1,10,DEN 39,13,28,Danny Kanell pass incomplete intended for Ashley Lelie,1.530,0.990
4,11:19,2,10,DEN 39,13,28,Danny Kanell pass complete to Ashley Lelie for 13 yards (tackle by Denard Walker),0.990,2.390
4,10:45,1,10,MIN 48,13,28,Clinton Portis right guard for no gain (tackle by Fred Robbins and Chris Hovan),2.390,1.850
4,10:07,2,10,MIN 48,13,28,Danny Kanell pass complete to Shannon Sharpe for 17 yards (tackle by Kenny Mixon),1.850,3.510
4,9:47,1,10,MIN 31,13,28,Clinton Portis right end for 9 yards (tackle by Kevin Williams),3.510,4.180
4,9:08,2,1,MIN 22,13,28,Danny Kanell pass incomplete intended for Rod Smith,4.180,3.470
4,9:02,3,1,MIN 22,13,28,Clinton Portis left guard for 2 yards (tackle by Chris Hovan),3.470,4.240
4,8:25,1,10,MIN 20,13,28,"Danny Kanell pass complete to Rod Smith for 11 yards (tackle by Corey Chavous). Penalty on Corey Chavous: Face Mask (15 Yards), 5 yards",4.240,6.280
4,8:07,,,,13,28,Timeout #2 by Denver Broncos,0.000,6.280
4,8:07,1,4,MIN 4,13,28,Clinton Portis left tackle for no gain (tackle by Chris Claiborne),6.280,5.340
4,7:31,2,4,MIN 4,13,28,Danny Kanell pass incomplete intended for Ashley Lelie (defended by Brian Williams),5.340,4.490
4,7:26,3,4,MIN 4,13,28,"Danny Kanell pass incomplete intended for Adrian Madise. Penalty on Denard Walker: Defensive Pass Interference, 3 yards (no play)",4.490,6.970
4,7:21,1,1,MIN 1,13,28,Clinton Portis left tackle for no gain (tackle by Kevin Williams and Fred Robbins),6.970,5.910
4,6:48,2,1,MIN 1,19,28,"Danny Kanell pass complete to Mike Anderson for 1 yard, touchdown",5.910,7.000
4,,,,MIN 2,20,28,Jason Elam kicks extra point good,0.000,0.000
4,,,,DEN 30,20,28,"Micah Knorr kicks off 61 yards, returned by Keenan Howry for 13 yards (tackle by Adrian Madise)",0.000,0.410
4,6:39,1,10,MIN 22,20,28,Daunte Culpepper pass complete to Randy Moss for 39 yards (tackle by Lenny Walls),0.410,2.980
4,5:48,1,10,DEN 39,20,28,Moe Williams right guard for 2 yards (tackle by Trevor Pryce),2.980,2.710
4,5:00,2,8,DEN 37,20,28,Moe Williams right guard for -1 yards (tackle by Al Wilson),2.710,1.880
4,4:18,3,9,DEN 38,20,28,Daunte Culpepper pass complete to Moe Williams for 6 yards (tackle by John Mobley),1.880,1.290
4,3:29,,,,20,28,Timeout #1 by Minnesota Vikings,0.000,1.290
4,3:29,4,3,DEN 32,20,28,Daunte Culpepper pass incomplete intended for Kelly Campbell,1.290,-1.140
4,3:24,1,10,DEN 33,20,28,Danny Kanell pass complete to Shannon Sharpe for 10 yards (tackle by Henri Crockett),1.140,1.800
4,2:57,1,10,DEN 43,20,28,Clinton Portis right tackle for 16 yards (tackle by Willie Offord),1.800,2.850
4,2:20,1,10,MIN 41,20,28,Danny Kanell pass complete to Shannon Sharpe for 5 yards (tackle by Chris Claiborne),2.850,2.980
4,2:00,2,5,MIN 36,20,28,Danny Kanell pass complete to Clinton Portis for 6 yards (tackle by Brian Williams),2.980,3.580
4,1:30,1,10,MIN 30,20,28,Danny Kanell pass incomplete intended for Ashley Lelie (defended by Ken Irvin),3.580,3.030
4,1:24,2,10,MIN 30,20,28,Danny Kanell pass complete to Adrian Madise for 5 yards (tackle by Greg Biekert),3.030,3.010
4,1:07,,,,20,28,Timeout #3 by Denver Broncos,0.000,3.010
4,1:07,3,5,MIN 25,20,28,"Penalty on Matt Lepsis: False Start, 5 yards (no play)",3.010,2.340
4,1:07,3,10,MIN 30,20,28,Clinton Portis up the middle for no gain (tackle by Kevin Williams),2.340,1.410
4,0:32,4,10,MIN 30,20,28,Danny Kanell pass incomplete intended for Clinton Portis (defended by Lance Johnstone),1.410,-1.000
4,0:27,1,10,MIN 31,20,28,Daunte Culpepper up the middle for -1 yards,1.000,0.320
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
