Unnamed: 0,DEN,MIN
First Downs,27,14
Rush-Yds-TDs,27-138-1,22-72-1
Cmp-Att-Yd-TD-INT,21-37-223-1-3,19-26-277-2-0
Sacked-Yards,5-40,2-9
Net Pass Yards,183,268
Total Yards,321,340
Fumbles-Lost,1-0,3-0
Turnovers,3,0
Penalties-Yards,5-40,14-108
Third Down Conv.,3-11,3-11
Fourth Down Conv.,0-1,1-2
Time of Possession,32:06,27:54
