Quarter,Time,Tm,Detail,DEN,MIN
1.0,6:10,Vikings,Kelly Campbell 47 yard pass from Daunte Culpepper (Aaron Elling kick),0,7
2.0,1:51,Broncos,Clinton Portis 4 yard rush (Jason Elam kick),7,7
,0:00,Vikings,Moe Williams 15 yard pass from Daunte Culpepper (Aaron Elling kick),7,14
3.0,9:24,Vikings,Onterrio Smith 5 yard rush (Aaron Elling kick),7,21
,7:57,Vikings,Lance Johnstone 33 yard interception return (Aaron Elling kick),7,28
,5:20,Broncos,Jason Elam 46 yard field goal,10,28
4.0,14:17,Broncos,Jason Elam 46 yard field goal,13,28
,6:45,Broncos,Mike Anderson 1 yard pass from Danny Kanell (Jason Elam kick),20,28
