Quarter,Time,Tm,Detail,PIT,CLE
1.0,9:47,Browns,Dennis Northcutt 87 yard punt return (Phil Dawson kick),0,7
,5:33,Steelers,Todd Peterson 43 yard field goal,3,7
2.0,11:45,Browns,Steve Heiden 1 yard pass from Tim Couch (Phil Dawson kick),3,14
,8:29,Steelers,Hines Ward 20 yard pass from Tommy Maddox (Todd Peterson kick),10,14
,1:56,Steelers,Mark Bruener 1 yard pass from Tommy Maddox (Todd Peterson kick),17,14
4.0,14:11,Steelers,Todd Peterson 28 yard field goal,20,14
,11:55,Steelers,Todd Peterson 42 yard field goal,23,14
,4:32,Browns,Quincy Morgan 31 yard pass from Tim Couch (Phil Dawson kick failed),23,20
