Unnamed: 0,PIT,CLE
First Downs,25,9
Rush-Yds-TDs,39-136-0,14-36-0
Cmp-Att-Yd-TD-INT,25-44-265-2-1,15-24-181-2-2
Sacked-Yards,2-10,4-24
Net Pass Yards,255,157
Total Yards,391,193
Fumbles-Lost,2-0,1-1
Turnovers,1,3
Penalties-Yards,3-21,11-85
Third Down Conv.,10-20,2-9
Fourth Down Conv.,1-3,1-1
Time of Possession,42:10,17:50
