Unnamed: 0,SEA,CLE
First Downs,9,20
Rush-Yds-TDs,16-68-0,45-139-0
Cmp-Att-Yd-TD-INT,12-30-97-0-1,20-35-178-0-1
Sacked-Yards,4-28,4-19
Net Pass Yards,69,159
Total Yards,137,298
Fumbles-Lost,2-1,1-0
Turnovers,2,1
Penalties-Yards,8-68,7-48
Third Down Conv.,2-12,12-24
Fourth Down Conv.,0-1,0-0
Time of Possession,17:04,42:56
