Quarter,Time,Tm,Detail,SEA,CLE
2,7:26,Browns,Phil Dawson 52 yard field goal,0,3
3,2:33,Seahawks,Stephen Hauschka 20 yard field goal,3,3
4,11:18,Browns,Phil Dawson 53 yard field goal,3,6
