Unnamed: 0,SEA,SFO
First Downs,13,18
Rush-Yds-TDs,29-136-0,32-175-0
Cmp-Att-Yd-TD-INT,9-23-122-0-1,14-23-140-1-1
Sacked-Yards,2-7,2-2
Net Pass Yards,115,138
Total Yards,251,313
Fumbles-Lost,1-0,1-0
Turnovers,1,1
Penalties-Yards,3-20,5-40
Third Down Conv.,4-13,3-11
Fourth Down Conv.,0-1,0-0
Time of Possession,27:59,32:01
