Quarter,Time,Down,ToGo,Location,SEA,MIN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Vikings won the coin toss, Vikings to receive the opening kickoff.",,
1,15:00,,,SEA 30,0,0,"Josh Brown kicks off 63 yards, returned by Kelly Campbell for 18 yards (tackle by Michael Boulware)",0.000,0.610
1,14:56,1,10,MIN 25,0,0,Onterrio Smith up the middle for 9 yards (tackle by Marcus Trufant),0.610,1.280
1,14:26,2,1,MIN 34,0,0,Onterrio Smith up the middle for 2 yards (tackle by Chike Okeafor),1.280,1.330
1,13:47,1,10,MIN 36,0,0,Onterrio Smith right tackle for 15 yards (tackle by Michael Boulware),1.330,2.320
1,13:10,1,10,SEA 49,0,0,Daunte Culpepper pass complete to Marcus Robinson for 13 yards (tackle by Marcus Trufant),2.320,3.180
1,12:32,1,10,SEA 36,0,0,Onterrio Smith right guard for no gain (tackle by Brandon Mitchell and Rashad Moore),3.180,2.640
1,11:54,2,10,SEA 36,0,0,"Penalty on Chris Liwienski: False Start, 5 yards (no play)",2.640,1.960
1,11:40,2,15,SEA 41,0,0,Onterrio Smith left guard for 6 yards (tackle by Isaiah Kacyvenski and Kris Richard),1.960,2.080
1,11:01,3,9,SEA 35,0,0,Daunte Culpepper pass incomplete intended for Randy Moss (defended by Marcus Trufant),2.080,0.970
1,10:55,4,9,SEA 35,0,0,"Darren Bennett punts 35 yards, touchback. Penalty on SEA: Defensive 12 On-field, 5 yards (no play)",0.970,1.460
1,10:47,4,4,SEA 30,0,3,Morten Andersen 48 yard field goal good,1.460,3.000
1,,,,MIN 30,0,3,"Jose Cortez kicks off 69 yards, returned by Maurice Morris for 34 yards (tackle by Jose Cortez)",0.000,1.270
1,10:35,1,10,SEA 35,0,3,Matt Hasselbeck pass complete to Darrell Jackson for 5 yards (tackle by Chris Claiborne),1.270,1.400
1,10:07,2,5,SEA 40,0,3,Matt Hasselbeck pass complete to Darrell Jackson for 13 yards (tackle by Brian Williams),1.400,2.460
1,9:41,1,10,MIN 47,0,3,Shaun Alexander right tackle for 2 yards (tackle by Kenny Mixon and Brian Russell),2.460,2.180
1,9:06,2,8,MIN 45,0,3,Matt Hasselbeck pass complete to Bobby Engram for 19 yards (tackle by E.J. Henderson),2.180,3.840
1,8:31,1,10,MIN 26,0,3,Shaun Alexander up the middle for 6 yards (tackle by Kevin Williams),3.840,4.110
1,7:56,2,4,MIN 20,0,3,Shaun Alexander left end for no gain (tackle by Chris Claiborne),4.110,3.400
1,7:13,3,4,MIN 20,0,3,Matt Hasselbeck pass incomplete intended for Darrell Jackson,3.400,2.200
1,7:09,4,4,MIN 20,0,3,Josh Brown 38 yard field goal no good,2.200,-0.810
1,7:05,1,10,MIN 28,0,3,"Daunte Culpepper pass incomplete intended for Randy Moss. Penalty on Marcus Trufant: Defensive Pass Interference, 31 yards (no play)",0.810,2.850
1,6:59,1,10,SEA 41,0,3,Onterrio Smith up the middle for 9 yards (tackle by Michael Boulware),2.850,3.520
1,6:23,2,1,SEA 32,0,3,Daunte Culpepper pass complete to Nate Burleson for 16 yards (tackle by Marcus Trufant),3.520,4.510
1,5:47,1,10,SEA 16,0,3,Onterrio Smith left end for 1 yard (tackle by Chike Okeafor),4.510,4.050
1,5:08,2,9,SEA 15,0,3,Onterrio Smith left guard for 5 yards (tackle by Niko Koutouvides),4.050,4.170
1,4:27,3,4,SEA 10,0,3,Daunte Culpepper pass complete to Kelly Campbell for 5 yards (tackle by Ken Lucas),4.170,6.060
1,3:47,1,5,SEA 5,0,9,"Onterrio Smith left guard for 5 yards, touchdown",6.060,7.000
1,,,,SEA 2,0,10,Morten Andersen kicks extra point good,0.000,0.000
1,,,,MIN 30,0,10,"Jose Cortez kicks off 66 yards, returned by Maurice Morris for 16 yards (tackle by Brian Williams)",0.000,0.280
1,3:37,1,10,SEA 20,0,10,Shaun Alexander right guard for 3 yards (tackle by Kenechi Udeze),0.280,0.140
1,2:55,2,7,SEA 23,0,10,Matt Hasselbeck pass complete to Darrell Jackson for 8 yards (tackle by Corey Chavous),0.140,1.000
1,2:18,1,10,SEA 31,0,10,"Matt Hasselbeck pass incomplete intended for Bobby Engram. Penalty on Brian Williams: Defensive Pass Interference, 17 yards (no play)",1.000,2.130
1,2:14,1,10,SEA 48,0,10,Shaun Alexander up the middle for 2 yards (tackle by Kevin Williams and E.J. Henderson),2.130,1.850
1,1:38,2,8,MIN 50,0,10,Matt Hasselbeck pass incomplete intended for Bobby Engram,1.850,1.160
1,1:35,3,8,MIN 50,0,10,Matt Hasselbeck pass complete to Bobby Engram for 15 yards (tackle by Ralph Brown). Penalty on Derek Ross: Illegal Contact (Declined),1.160,3.250
1,1:21,1,10,MIN 35,6,10,"Matt Hasselbeck pass complete to Bobby Engram for 35 yards, touchdown",3.250,7.000
1,,,,MIN 2,7,10,Josh Brown kicks extra point good,0.000,0.000
1,,,,SEA 30,7,10,"Josh Brown kicks off 66 yards, returned by Kelly Campbell for 17 yards (tackle by Marquand Manuel)",0.000,0.340
1,1:05,1,10,MIN 21,7,10,Michael Bennett up the middle for 3 yards (tackle by Michael Boulware),0.340,0.210
1,0:28,2,7,MIN 24,7,10,Michael Bennett left guard for 1 yard (tackle by Michael Boulware),0.210,-0.360
Quarter,Time,Down,ToGo,Location,SEA,MIN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,6,MIN 25,7,10,Daunte Culpepper pass incomplete intended for Kelly Campbell (defended by Ken Lucas),-0.360,-1.700
2,14:55,4,6,MIN 25,7,10,Darren Bennett punts 51 yards,-1.700,-0.540
