Unnamed: 0,SEA,MIN
First Downs,26,22
Rush-Yds-TDs,31-138-0,25-113-1
Cmp-Att-Yd-TD-INT,23-34-334-3-2,21-34-270-1-1
Sacked-Yards,3-17,1-9
Net Pass Yards,317,261
Total Yards,455,374
Fumbles-Lost,0-0,2-1
Turnovers,2,2
Penalties-Yards,5-79,5-42
Third Down Conv.,4-12,3-10
Fourth Down Conv.,0-0,0-0
Time of Possession,32:43,27:17
