Quarter,Time,Down,ToGo,Location,IND,CLE,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Browns won the coin toss, Browns to receive the opening kickoff.",,
1,15:00,,,IND 30,0,0,"Mike Vanderjagt kicks off 53 yards, returned by Andre' Davis for 5 yards (tackle by Clifton Crosby)",0.000,0.410
1,14:54,1,10,CLE 22,0,6,"Tim Couch pass complete to Quincy Morgan for 78 yards, touchdown",0.410,7.000
1,14:54,,,IND 22,0,6,Phil Dawson kicks extra point no good,0.000,-1.000
1,14:54,,,CLE 30,0,6,"Phil Dawson kicks off 56 yards, returned by Troy Walters for 12 yards (tackle by Lewis Sanders)",0.000,0.670
1,14:37,1,10,IND 26,0,6,Edgerrin James right guard for 9 yards (tackle by Corey Fuller),0.670,1.350
1,14:05,2,1,IND 35,0,6,Edgerrin James right guard for 3 yards (tackle by Tyrone Rogers and Earl Holmes),1.350,1.470
1,13:34,1,10,IND 38,0,6,Peyton Manning pass complete to Marvin Harrison for 7 yards (tackle by Earl Holmes),1.470,1.870
1,12:55,2,3,IND 45,0,6,Edgerrin James right guard for 2 yards (tackle by Robert Griffith),1.870,1.420
1,12:14,3,1,IND 47,0,6,James Mungro left tackle for no gain (tackle by Darren Hambrick and Orpheus Roye),1.420,-0.260
1,11:30,4,1,IND 47,0,6,"Hunter Smith punts 38 yards, fair catch by Andre' Davis",-0.260,0.220
1,11:22,1,10,CLE 15,0,6,William Green right end for 1 yard (tackle by Mike Peterson and Jason Doering),-0.220,-0.580
1,10:42,2,9,CLE 16,0,6,Tim Couch pass complete to William Green for 17 yards (tackle by David Gibson),-0.580,1.140
1,10:09,1,10,CLE 33,0,6,Tim Couch pass incomplete intended for Steve Heiden (defended by Marcus Washington),1.140,0.590
1,10:04,2,10,CLE 33,0,6,William Green right guard for 8 yards (tackle by Larry Tripplett),0.590,0.960
1,9:25,3,2,CLE 41,0,6,William Green right tackle for 2 yards (tackle by Dwight Freeney),0.960,1.800
1,8:53,1,10,CLE 43,0,6,William Green right guard for 4 yards (tackle by Marcus Washington),1.800,1.790
1,8:11,2,6,CLE 47,0,6,William Green right guard for 5 yards (tackle by Mike Peterson and Marcus Washington),1.790,1.750
1,7:44,3,1,IND 48,0,6,Tim Couch middle for 2 yards (tackle by Mike Peterson),1.750,2.520
1,7:02,1,10,IND 46,0,6,William Green middle for 3 yards (tackle by Rob Morris),2.520,2.380
1,6:24,2,7,IND 43,0,6,William Green right tackle for -5 yards (tackle by Dwight Freeney),2.380,1.030
1,5:41,3,12,IND 48,0,6,"Penalty on Ross Verba: False Start, 5 yards (no play)",1.030,0.370
1,5:26,3,17,CLE 47,0,6,"Tim Couch pass complete to Jamel White for -2 yards. Penalty on Ross Verba: Illegal Formation (Declined), Penalty on Kevin Johnson: Offensive Pass Interference (Declined)",0.370,-0.390
1,5:14,4,19,CLE 45,0,6,"Chris Gardocki punts 43 yards, returned by Troy Walters for 3 yards (tackle by Chris Akins)",-0.390,0.220
1,5:06,1,10,IND 15,0,6,Peyton Manning pass incomplete intended for Marvin Harrison,-0.220,-0.710
1,4:59,2,10,IND 15,0,6,Edgerrin James right end for 5 yards (tackle by Earl Holmes and Darren Hambrick),-0.710,-0.760
1,4:16,3,5,IND 20,0,6,Peyton Manning pass complete to Marvin Harrison for 29 yards,-0.760,2.190
1,3:48,1,10,IND 49,0,6,Edgerrin James middle for 1 yard (tackle by Robert Griffith),2.190,1.780
1,3:10,1,10,IND 49,,,Timeout #1 by Cleveland Browns,2.190,1.780
1,3:10,2,9,,0,6,Peyton Manning pass incomplete intended for Joe Davenport is intercepted by Darren Hambrick at CLE-46 and returned for 6 yards,1.780,-2.390
1,3:04,1,10,IND 48,0,6,William Green right guard for -1 yards (tackle by Dwight Freeney),2.390,1.710
1,2:35,2,11,IND 49,0,6,Tim Couch pass complete to William Green for 7 yards (tackle by Rob Morris and Jason Doering),1.710,1.950
1,1:53,3,4,IND 42,0,6,Tim Couch pass complete to Jamel White for 12 yards (tackle by Brian Leigeb and David Gibson),1.950,3.580
1,1:53,3,4,IND 42,,,Timeout #1 by Indianapolis Colts,1.950,3.580
1,1:10,1,10,IND 30,0,12,"Tim Couch pass complete to Kevin Johnson for 30 yards, touchdown",3.580,7.000
1,1:10,,,IND 30,0,13,Phil Dawson kicks extra point good,0.000,0.000
1,1:10,,,CLE 30,0,13,"Phil Dawson kicks off 52 yards, returned by Troy Walters for 10 yards (tackle by Chris Akins)",0.000,0.810
1,1:06,1,10,IND 28,0,13,Peyton Manning pass incomplete intended for Qadry Ismail (defended by Anthony Henry),0.810,0.260
1,1:00,2,10,IND 28,0,13,Edgerrin James right tackle for 1 yard (tackle by Earl Holmes and Darren Hambrick),0.260,-0.300
1,0:24,3,9,IND 29,0,13,Peyton Manning pass complete to Marvin Harrison for 18 yards (tackle by Earl Little and Robert Griffith),-0.300,2.060
Quarter,Time,Down,ToGo,Location,IND,CLE,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,IND 47,0,13,Peyton Manning pass incomplete intended for Joe Davenport,2.060,1.520
2,14:55,2,10,IND 47,0,13,Peyton Manning pass complete to Qadry Ismail for 1 yard (tackle by Dwayne Rudd and Earl Holmes),1.520,0.960
2,14:07,2,10,IND 47,,,Timeout #2 by Indianapolis Colts,1.520,0.960
2,14:07,3,9,IND 48,0,13,Peyton Manning pass incomplete intended for Qadry Ismail,0.960,-0.190
2,14:02,4,9,IND 48,0,13,"Penalty on Anthony Henry: Neutral Zone Infraction, 5 yards (no play)",-0.190,0.130
2,14:02,4,4,CLE 47,0,13,"Penalty on Justin Snow: False Start, 5 yards (no play)",0.130,-0.190
2,14:02,4,9,IND 48,0,13,"Hunter Smith punts 25 yards, out of bounds",-0.190,-0.740
2,13:54,1,10,CLE 27,0,13,"Tim Couch sacked by Rob Morris for -9 yards. Tim Couch fumbles (forced by Rob Morris), recovered by Ross Verba at CLE-17",0.740,-1.290
2,13:14,2,20,CLE 17,0,13,William Green middle for 2 yards (tackle by Dwight Freeney and Mike Peterson),-1.290,-1.650
2,12:40,3,18,CLE 19,0,13,Tim Couch pass complete to Jamel White for 10 yards (tackle by Chad Bratzke),-1.650,-1.440
2,12:09,4,8,CLE 29,0,13,"Chris Gardocki punts 46 yards, returned by Troy Walters for 1 yard (tackle by Andra Davis)",-1.440,-0.670
2,11:59,1,10,IND 26,0,13,"Edgerrin James left guard for 1 yard (tackle by Mark Word). Penalty on Mark Word: Defensive Offside, 5 yards (no play)",0.670,1.400
2,11:40,1,5,IND 31,0,13,Peyton Manning pass incomplete intended for Marcus Pollard,1.400,0.810
2,11:35,2,5,IND 31,0,13,Peyton Manning pass complete to Edgerrin James for 10 yards (tackle by Earl Holmes),0.810,1.660
2,11:01,1,10,IND 41,0,13,Edgerrin James right tackle for 6 yards (tackle by Corey Fuller and Earl Holmes),1.660,1.930
2,10:24,2,4,IND 47,0,13,Peyton Manning middle for 3 yards (tackle by Earl Holmes),1.930,1.620
2,9:42,3,1,,0,13,James Mungro middle for no gain (tackle by Mark Word),1.620,-0.060
2,8:56,4,1,,0,13,"Hunter Smith punts 33 yards, fair catch by Andre' Davis",-0.060,0.060
2,8:47,1,10,CLE 17,0,13,William Green left tackle for -2 yards (tackle by David Gibson and Rob Morris),-0.060,-0.850
2,8:09,2,12,CLE 15,0,13,Tim Couch sacked by Dwight Freeney for -9 yards,-0.850,-2.710
2,7:40,3,21,CLE 6,0,13,William Green middle for 9 yards (tackle by Rob Morris),-2.710,-2.440
2,7:12,4,12,CLE 15,0,13,"Chris Gardocki punts 40 yards, returned by Troy Walters for 12 yards (tackle by Lenoy Jones)",-2.440,-2.720
2,7:01,1,10,CLE 43,0,13,Peyton Manning pass incomplete intended for Qadry Ismail (defended by Corey Fuller),2.720,2.180
2,6:55,2,10,CLE 43,0,13,Edgerrin James left tackle for 9 yards (tackle by Robert Griffith and Andra Davis),2.180,2.680
2,6:14,3,1,CLE 34,0,13,"James Mungro left tackle for 1 yard (tackle by Gerard Warren). James Mungro fumbles (forced by Gerard Warren), recovered by Gerard Warren at CLE-33 (tackle by Jim Finn)",2.680,-1.140
2,6:06,1,10,CLE 33,0,13,William Green left end for 9 yards (tackle by Rob Morris),1.140,1.810
2,5:26,2,1,CLE 42,0,13,William Green left guard for no gain (tackle by Raheem Brock),1.810,1.090
2,4:47,3,1,CLE 42,0,13,"William Green right tackle for no gain (tackle by Mike Peterson). Penalty on IND: Defensive Offside, 5 yards (no play)",1.090,2.060
2,4:26,1,10,CLE 47,0,13,Tim Couch pass complete to William Green for no gain,2.060,1.520
2,3:43,2,10,CLE 47,0,13,William Green left tackle for 6 yards (tackle by David Macklin and Rob Morris),1.520,1.620
,,,,,,,"CLE challenged the ruling, and the original play was overturned.",,
2,3:24,3,4,IND 47,0,13,"Penalty on Ross Verba: False Start, 5 yards (no play)",1.620,0.960
2,2:57,3,9,CLE 48,0,13,Tim Couch pass complete to Quincy Morgan for 7 yards (tackle by Nick Harper and David Macklin),0.960,0.270
2,2:15,4,2,IND 45,0,13,Chris Gardocki punts 31 yards,0.270,0.280
2,2:04,1,10,IND 14,0,13,Ricky Williams left guard for 1 yard (tackle by Devin Bush),-0.280,-0.640
2,1:59,2,9,IND 15,0,13,Peyton Manning pass incomplete intended for Ricky Williams,-0.640,-1.280
2,1:54,3,9,IND 15,0,13,Peyton Manning middle for 1 yard (tackle by Mark Word),-1.280,-2.390
2,1:41,3,9,IND 15,,,Timeout #2 by Cleveland Browns,-1.280,-2.390
2,1:41,4,8,IND 16,0,13,"Hunter Smith punts 29 yards, fair catch by Andre' Davis",-2.390,-2.590
2,1:33,1,10,IND 45,0,13,Tim Couch pass complete to Mark Campbell for 10 yards (tackle by Rob Morris and Mike Peterson),2.590,3.250
2,1:16,1,10,IND 35,0,13,Jamel White middle for 2 yards (tackle by Mike Peterson),3.250,2.970
2,0:58,2,8,IND 33,0,13,Tim Couch pass complete to Kevin Johnson for 10 yards (tackle by Rob Morris),2.970,4.040
2,0:44,1,10,IND 23,0,13,Tim Couch pass incomplete,4.040,3.500
2,0:43,1,10,IND 23,,,Timeout #3 by Cleveland Browns,4.040,3.500
2,0:43,2,10,IND 23,0,13,Tim Couch pass complete to Jamel White for 12 yards (tackle by David Macklin),3.500,4.840
2,0:24,1,10,IND 11,0,13,Tim Couch pass incomplete,4.840,4.140
2,0:24,2,10,IND 11,0,13,Tim Couch pass incomplete intended for Mark Campbell (defended by Nick Harper),4.140,3.130
2,0:20,3,10,IND 11,0,13,Tim Couch pass incomplete intended for Kevin Johnson,3.130,2.700
2,0:14,4,10,IND 11,0,16,Phil Dawson 29 yard field goal good,2.700,3.000
2,0:14,,,CLE 30,0,16,"Phil Dawson kicks off 70 yards, touchback",0.000,0.280
2,0:11,1,10,IND 20,0,16,Peyton Manning kneels for no gain,0.280,-0.270
2,0:11,2,10,IND 20,0,16,Peyton Manning for 13 yards. Penalty on CLE: Defensive Offside (Declined),-0.270,1.140
Quarter,Time,Down,ToGo,Location,IND,CLE,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CLE 30,0,16,"Phil Dawson kicks off 64 yards, returned by Troy Walters for 20 yards (tackle by Brant Boyer)",0.000,0.670
3,14:55,1,10,IND 26,0,16,Peyton Manning pass complete to Marvin Harrison for 16 yards (tackle by Corey Fuller),0.670,1.730
3,14:22,1,10,IND 42,0,16,Edgerrin James right tackle for -1 yards (tackle by Dwayne Rudd and Orpheus Roye),1.730,1.050
3,13:58,2,11,IND 41,0,16,Peyton Manning pass complete to Marvin Harrison for 23 yards (tackle by Corey Fuller),1.050,3.180
3,13:38,1,10,CLE 36,0,16,James Mungro left tackle for -1 yards (tackle by Orpheus Roye and Tyrone Rogers),3.180,2.500
3,13:11,2,11,CLE 37,0,16,Peyton Manning pass incomplete intended for Marcus Pollard,2.500,1.820
3,13:06,2,11,CLE 37,,,Timeout #1 by Cleveland Browns,2.500,1.820
3,13:06,3,11,CLE 37,0,16,Peyton Manning right tackle for 8 yards (tackle by Earl Little),1.820,1.580
3,12:23,4,3,CLE 29,6,16,"James Mungro right tackle for 29 yards, touchdown",1.580,7.000
3,12:23,,,CLE 29,7,16,Mike Vanderjagt kicks extra point good,0.000,0.000
3,12:23,,,IND 30,7,16,"Mike Vanderjagt kicks off 59 yards, returned by Andre' Davis for 16 yards (tackle by David Macklin)",0.000,0.740
3,12:10,1,10,CLE 27,7,16,William Green right tackle for 2 yards (tackle by Dwight Freeney),0.740,0.470
3,11:35,2,8,CLE 29,7,16,Tim Couch pass incomplete intended for William Green,0.470,-0.230
3,11:29,3,8,CLE 29,7,16,Tim Couch pass complete to Kevin Johnson for 5 yards (tackle by David Gibson),-0.230,-1.110
3,10:58,4,3,CLE 34,7,16,"Chris Gardocki punts 47 yards, returned by Troy Walters for 9 yards (tackle by Andra Davis)",-1.110,-0.810
3,10:49,1,10,IND 28,7,16,Peyton Manning pass complete to Marcus Pollard for 19 yards (tackle by Earl Little),0.810,2.060
3,10:25,1,10,IND 47,7,16,Peyton Manning pass incomplete intended for James Mungro,2.060,1.520
3,10:21,2,10,IND 47,7,16,Peyton Manning pass complete to Qadry Ismail for 9 yards (tackle by Robert Griffith and Anthony Henry),1.520,2.020
3,9:54,3,1,CLE 44,7,16,Peyton Manning pass incomplete intended for Marcus Pollard,2.020,0.330
3,9:48,4,1,CLE 44,7,16,Peyton Manning pass complete to Marvin Harrison for 5 yards (tackle by Corey Fuller),0.330,2.980
3,9:19,1,10,CLE 39,7,16,James Mungro right guard for 11 yards (tackle by Dwayne Rudd and Earl Little),2.980,3.710
3,8:34,1,10,CLE 28,7,16,Peyton Manning pass incomplete intended for Marvin Harrison,3.710,3.170
3,8:27,2,10,CLE 28,7,16,Ricky Williams left tackle for -2 yards (tackle by Earl Holmes and Orpheus Roye),3.170,2.210
3,7:42,3,12,CLE 30,7,16,Peyton Manning sacked by Gerard Warren for -3 yards,2.210,1.150
3,7:42,4,15,CLE 33,7,16,Penalty on IND: Delay of Game (Declined),1.150,1.150
3,7:24,4,15,CLE 33,7,16,Hunter Smith punts 30 yards,1.150,0.380
3,6:54,1,10,CLE 3,7,16,William Green middle for 3 yards (tackle by Mike Peterson and Chad Bratzke),-0.380,-0.560
3,6:15,2,7,CLE 6,7,16,William Green right end for 3 yards (tackle by Walt Harris and Mike Peterson),-0.560,-0.720
3,5:35,3,4,CLE 9,7,16,Tim Couch pass incomplete intended for Kevin Johnson (defended by Brad Scioli),-0.720,-2.490
3,5:29,4,4,CLE 9,7,16,"Chris Gardocki punts 43 yards, returned by Troy Walters for 4 yards (tackle by Brant Boyer)",-2.490,-2.390
3,5:19,1,10,CLE 48,7,16,Peyton Manning pass complete to Edgerrin James for 4 yards (tackle by Kevin Bentley),2.390,2.390
3,5:09,2,6,CLE 44,7,16,Peyton Manning pass complete to Edgerrin James for 6 yards (tackle by Kevin Bentley),2.390,3.050
3,4:49,1,10,CLE 38,7,16,Edgerrin James left guard for 7 yards (tackle by Earl Holmes),3.050,3.450
3,4:13,2,3,CLE 31,7,16,Peyton Manning pass complete to James Mungro for 1 yard (tackle by Darren Hambrick),3.450,2.870
3,3:40,3,2,CLE 30,7,16,James Mungro middle for 5 yards (tackle by Earl Little),2.870,3.910
3,2:57,1,10,CLE 25,13,16,"Peyton Manning pass complete to Marvin Harrison for 25 yards, touchdown",3.910,7.000
3,2:57,,,CLE 25,14,16,Mike Vanderjagt kicks extra point good,0.000,0.000
3,2:57,,,IND 30,14,16,"Mike Vanderjagt kicks off 61 yards, returned by Andre' Davis for 25 yards (tackle by Sam Sword)",0.000,1.200
3,2:45,1,10,CLE 34,14,16,"Tim Couch pass incomplete intended for Kevin Johnson. Penalty on Brian Leigeb: Defensive Pass Interference, 16 yards (no play)",1.200,2.260
3,2:40,1,10,,14,16,William Green right end for 5 yards (tackle by Clifton Crosby),2.260,2.390
3,2:01,2,5,IND 45,14,16,William Green left guard for 4 yards (tackle by Larry Tripplett),2.390,2.210
3,1:20,3,1,IND 41,14,16,Tim Couch middle for 1 yard (tackle by Chad Bratzke and Mike Peterson),2.210,2.920
3,0:41,1,10,IND 40,14,16,Tim Couch sacked by Dwight Freeney for -8 yards,2.920,1.290
3,0:10,2,18,IND 48,14,16,Tim Couch pass incomplete intended for Andre' Davis (defended by Clifton Crosby),1.290,0.630
3,0:05,3,18,IND 48,14,16,Tim Couch pass complete to Andre King for 13 yards (tackle by David Gibson),0.630,0.980
Quarter,Time,Down,ToGo,Location,IND,CLE,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,4,5,IND 35,14,16,Tim Couch pass complete to Jamel White for 33 yards (tackle by David Gibson),0.980,6.740
4,14:33,4,5,IND 35,,,Timeout #1 by Indianapolis Colts,0.980,6.740
4,14:33,1,2,IND 2,14,22,"William Green left end for 2 yards, touchdown",6.740,7.000
4,14:33,,,IND 2,14,23,Phil Dawson kicks extra point good,0.000,0.000
4,14:33,,,CLE 30,14,23,"Phil Dawson kicks off 55 yards, returned by Troy Walters for 28 yards (tackle by Earl Little)",0.000,1.800
4,14:23,1,10,IND 43,14,23,Peyton Manning pass complete to Marcus Pollard for 22 yards (tackle by Dwayne Rudd),1.800,3.250
4,13:49,1,10,CLE 35,14,23,James Mungro left guard for 2 yards (tackle by Orpheus Roye and Earl Holmes),3.250,2.970
4,13:20,2,8,CLE 33,14,23,Peyton Manning pass complete to Qadry Ismail for 4 yards (tackle by Earl Holmes),2.970,2.810
4,12:36,3,4,CLE 29,14,23,Peyton Manning pass complete to Joe Davenport for 22 yards (tackle by Earl Little),2.810,5.600
4,11:54,1,7,CLE 7,14,23,Peyton Manning pass incomplete intended for Marvin Harrison,5.600,4.760
4,11:50,2,7,CLE 7,14,23,Peyton Manning pass incomplete intended for Qadry Ismail,4.760,3.810
4,11:46,3,7,CLE 7,14,23,"Penalty on Gerard Warren: Defensive Offside, 4 yards (no play)",3.810,4.720
4,11:34,3,3,CLE 3,20,23,"Peyton Manning pass complete to Marvin Harrison for 3 yards, touchdown",4.720,7.000
4,11:34,,,CLE 3,21,23,Mike Vanderjagt kicks extra point good,0.000,0.000
4,11:34,,,IND 30,21,23,"Mike Vanderjagt kicks off 59 yards, returned by Andre' Davis for 21 yards (tackle by Clifton Crosby)",0.000,1.070
4,11:25,1,10,CLE 32,21,23,"Tim Couch sacked by Chad Bratzke for -7 yards. Tim Couch fumbles (forced by Chad Bratzke), recovered by Dave Wohlabaugh at CLE-25",1.070,-0.420
4,10:46,2,17,CLE 25,21,23,"William Green left tackle for 8 yards (tackle by Rob Morris). Penalty on Quincy Morgan: Offensive Holding, 10 yards",-0.420,-0.690
4,10:29,2,19,CLE 23,21,23,Tim Couch pass incomplete intended for Quincy Morgan,-0.690,-1.350
4,10:27,3,19,CLE 23,21,23,Jamel White middle for 9 yards (tackle by Mike Peterson and Rob Morris),-1.350,-1.240
4,9:59,4,10,CLE 32,21,23,"Chris Gardocki punts 45 yards, returned by Joe Walker for 1 yard (tackle by Andra Davis). Penalty on IND: Illegal Block Above the Waist, 10 yards",-1.240,0.280
4,9:46,1,10,IND 14,21,23,"Peyton Manning pass complete to James Mungro for 7 yards (tackle by Earl Holmes). James Mungro fumbles (forced by Earl Holmes), recovered by Jeff Saturday at IND-21",-0.280,0.280
4,9:08,2,3,IND 21,21,23,James Mungro left end for 23 yards (tackle by Earl Little),0.280,1.860
4,8:40,1,10,IND 44,21,23,Peyton Manning pass complete to Marvin Harrison for 46 yards (tackle by Corey Fuller),1.860,4.910
4,8:17,1,10,CLE 10,21,23,Ricky Williams left guard for 3 yards (tackle by Earl Holmes),4.910,4.760
4,7:33,2,7,CLE 7,21,23,James Mungro left guard for 4 yards (tackle by Kenard Lang and Earl Holmes),4.760,4.720
4,6:49,3,3,CLE 3,27,23,"James Mungro right guard for 3 yards, touchdown",4.720,7.000
4,6:49,,,CLE 3,28,23,Mike Vanderjagt kicks extra point good,0.000,0.000
4,6:49,,,IND 30,28,23,"Mike Vanderjagt kicks off 61 yards, returned by Andre' Davis for 16 yards (tackle by David Thornton)",0.000,0.610
4,6:41,1,10,CLE 25,28,23,Tim Couch pass complete to Kevin Johnson for 11 yards (tackle by Marcus Washington),0.610,1.330
4,6:05,1,10,CLE 36,28,23,William Green left end for 1 yard (tackle by Rob Morris and Brad Scioli),1.330,0.930
4,5:21,2,9,CLE 37,28,23,Tim Couch pass complete to Mark Campbell for 5 yards (tackle by Rob Morris),0.930,0.890
4,4:41,3,4,CLE 42,28,23,Tim Couch pass complete to Andre' Davis for 2 yards (tackle by Brian Leigeb),0.890,-0.460
4,4:07,4,2,CLE 44,28,23,"Chris Gardocki punts 47 yards, returned by Joe Walker for 5 yards (tackle by Chris Akins)",-0.460,0.280
4,3:58,1,10,IND 14,28,23,James Mungro right guard for 1 yard (tackle by Orpheus Roye),-0.280,-0.640
4,3:16,2,9,IND 15,28,23,James Mungro right guard for no gain (tackle by Orpheus Roye and Earl Holmes),-0.640,-1.280
4,3:09,2,9,IND 15,,,Timeout #2 by Cleveland Browns,-0.640,-1.280
4,3:09,3,9,IND 15,28,23,James Mungro right tackle for -3 yards (tackle by Tyrone Rogers),-1.280,-2.490
4,3:03,3,9,IND 15,,,Timeout #3 by Cleveland Browns,-1.280,-2.490
4,3:03,4,12,IND 12,28,23,"Hunter Smith punts 41 yards, returned by Andre' Davis for 5 yards (tackle by Joe Jefferson). Penalty on Justin Snow: Offensive Holding (Declined)",-2.490,-2.390
4,2:52,1,10,IND 48,28,23,Tim Couch pass incomplete intended for Quincy Morgan (defended by David Macklin),2.390,1.850
4,2:48,2,10,IND 48,28,23,Tim Couch pass incomplete intended for Andre' Davis,1.850,1.160
4,2:43,3,10,IND 48,28,23,"Tim Couch pass complete to Jamel White for 7 yards (tackle by Chad Bratzke). Penalty on CLE: Illegal Shift, 5 yards (no play)",1.160,0.500
4,2:37,3,15,CLE 47,28,23,Tim Couch pass complete to Kevin Johnson for 14 yards (tackle by Nick Harper),0.500,0.660
4,2:15,4,1,IND 39,28,23,Jamel White right guard for 8 yards (tackle by Dwight Freeney and David Gibson),0.660,3.510
4,2:00,1,10,IND 31,28,23,Tim Couch pass complete to Quincy Morgan for 5 yards (tackle by David Macklin),3.510,3.640
4,1:54,2,5,IND 26,28,23,Tim Couch pass complete to Jamel White for 8 yards (tackle by Mike Peterson),3.640,4.370
4,1:28,1,10,IND 18,28,23,"Tim Couch pass incomplete intended for Kevin Johnson. Penalty on Walt Harris: Defensive Holding, 8 yards (no play)",4.370,4.910
4,1:23,1,10,IND 10,28,23,Tim Couch pass incomplete intended for Andre' Davis,4.910,4.190
4,1:20,2,10,IND 10,28,23,Tim Couch middle for 5 yards (tackle by Chad Bratzke),4.190,4.260
4,0:41,3,5,IND 5,28,23,Tim Couch pass incomplete intended for Andre King (defended by Josh Williams),4.260,3.010
