#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,14:41,IND 26,5,3:19,21,Punt
2,1,5:06,IND 15,5,2:02,35,Interception
3,1,1:10,IND 28,6,2:16,20,Punt
4,2,11:59,IND 26,5,3:12,24,Punt
5,2,7:01,CLE 43,3,0:55,10,Fumble
6,2,2:04,IND 14,3,0:31,2,Punt
7,2,0:12,IND 20,2,0:12,13,End of Half
8,3,15:00,IND 26,7,2:44,74,Touchdown
9,3,10:49,IND 28,10,3:55,39,Punt
10,3,5:19,CLE 48,6,2:28,48,Touchdown
11,4,14:28,IND 43,7,2:58,57,Touchdown
12,4,9:46,IND 14,6,3:00,86,Touchdown
13,4,3:58,IND 14,3,1:06,-2,Punt
14,4,0:31,IND 5,1,0:31,-1,End of Game
