Unnamed: 0,IND,CLE
First Downs,20,18
Rush-Yds-TDs,33-143-2,28-96-1
Cmp-Att-Yd-TD-INT,20-34-277-2-1,21-35-287-2-0
Sacked-Yards,1-3,4-34
Net Pass Yards,274,253
Total Yards,417,349
Fumbles-Lost,2-1,2-0
Turnovers,2,0
Penalties-Yards,5-44,7-39
Third Down Conv.,6-15,4-16
Fourth Down Conv.,2-2,2-3
Time of Possession,29:09,30:51
