Quarter,Time,Down,ToGo,Location,SDG,CIN,Detail,EPB,EPA
2,13:30,2,11,SDG 36,3,7,Melvin Gordon left tackle for 27 yards (tackle by Dre Kirkpatrick),0.720,3.120
2,13:00,1,10,CIN 37,3,7,Branden Oliver left guard for 2 yards (tackle by George Iloka),3.120,2.840
2,12:25,2,8,CIN 35,3,7,Philip Rivers pass complete short left to Ladarius Green for 12 yards (tackle by Adam Jones),2.840,4.040
2,11:52,1,10,CIN 23,3,7,Melvin Gordon middle for -8 yards (tackle by Michael Johnson). Penalty on Chris Hairston: Offensive Holding (Declined),4.040,2.420
2,11:26,2,18,CIN 31,3,7,Philip Rivers pass complete short middle to Ladarius Green for 11 yards (tackle by Vincent Rey and Rey Maualuga),2.420,3.200
2,10:41,3,7,CIN 20,3,7,"Penalty on Chris Hairston: False Start, 5 yards (no play)",3.200,2.540
2,10:18,3,12,CIN 25,3,7,Philip Rivers pass complete short right to Danny Woodhead for 11 yards (tackle by Dre Kirkpatrick),2.540,2.540
2,9:28,3,12,CIN 25,3,7,Timeout #1 by Los Angeles Chargers,2.540,2.660
2,9:28,4,1,CIN 14,6,7,Josh Lambo 32 yard field goal good,2.660,3.000
2,9:28,,,SDG 35,6,7,"Josh Lambo kicks off 65 yards, returned by Adam Jones for 16 yards (tackle by Denzel Perryman)",0.000,0.140
2,9:18,1,10,CIN 16,6,7,Andy Dalton pass complete short left to Tyler Eifert for 13 yards (tackle by Jimmy Wilson),-0.140,0.870
2,8:40,1,10,CIN 29,6,7,Jeremy Hill right guard for 7 yards (tackle by Eric Weddle),0.870,1.270
2,8:05,2,3,CIN 36,6,7,Jeremy Hill left tackle for 4 yards (tackle by Manti Te'o),1.270,1.600
2,7:25,1,10,CIN 40,6,7,"Andy Dalton pass incomplete deep right intended for Mohamed Sanu. Penalty on Andrew Whitworth: Offensive Holding, 10 yards (no play)",1.600,0.940
2,7:18,1,20,CIN 30,6,7,Andy Dalton pass complete short middle to Rex Burkhead for 8 yards (tackle by Manti Te'o),0.940,0.780
2,6:39,2,12,CIN 38,6,7,"Andy Dalton pass complete short right to Jeremy Hill for 2 yards (tackle by Patrick Robinson). Penalty on Jason Verrett: Face Mask (15 Yards), 15 yards",0.780,2.590
2,6:08,1,10,SDG 45,6,13,"Andy Dalton pass complete deep middle to Marvin Jones for 45 yards, touchdown",2.590,7.000
2,6:08,,,SDG 45,6,14,Mike Nugent kicks extra point good,0.000,0.000
2,6:08,,,CIN 35,6,14,"Mike Nugent kicks off 65 yards, touchback",0.000,-0.280
2,6:01,1,10,SDG 20,6,14,"Penalty on Rey Maualuga: Neutral Zone Infraction, 5 yards (no play)",0.280,1.010
2,5:59,1,5,SDG 25,6,14,Melvin Gordon right tackle for no gain (tackle by Wallace Gilberry),1.010,0.410
2,5:28,2,5,SDG 25,6,14,Philip Rivers pass complete short middle to Keenan Allen for 3 yards (tackle by Dre Kirkpatrick),0.410,0.100
2,4:54,3,2,SDG 28,6,14,Philip Rivers pass complete short middle to Ladarius Green for 4 yards (tackle by Adam Jones),0.100,1.070
2,4:14,1,10,SDG 32,6,14,Danny Woodhead left guard for no gain (tackle by Carlos Dunlap),1.070,0.530
2,3:34,2,10,SDG 32,6,14,Philip Rivers pass complete short middle to Malcom Floyd for 15 yards (tackle by Adam Jones),0.530,2.060
2,2:51,1,10,SDG 47,6,14,Melvin Gordon right guard for -1 yards (tackle by Vincent Rey),2.060,1.380
2,2:10,2,11,SDG 46,6,14,Philip Rivers pass incomplete short left intended for Keenan Allen (defended by Adam Jones),1.380,0.700
2,2:05,3,11,SDG 46,6,14,Philip Rivers right end for 5 yards (tackle by Reggie Nelson). Penalty on Joe Barksdale: Illegal Formation (Declined),0.700,0.000
2,1:58,4,6,CIN 49,6,14,"Mike Scifres punts 38 yards, returned by Brandon Tate for 12 yards (tackle by Denzel Perryman)",0.000,-0.480
2,1:49,1,10,CIN 23,6,14,Andy Dalton pass complete short middle to Tyler Eifert for 12 yards (tackle by Jeremiah Attaochu),0.480,1.270
2,1:19,1,10,CIN 35,6,14,Andy Dalton pass incomplete,1.270,0.720
2,1:16,2,10,CIN 35,6,14,Giovani Bernard right guard for 6 yards (tackle by Ricardo Mathews),0.720,0.830
2,0:57,3,4,CIN 41,6,14,Giovani Bernard right guard for 3 yards (tackle by Melvin Ingram and Manti Te'o),0.830,-0.460
Quarter,Time,Down,ToGo,Location,SDG,CIN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CIN 35,6,14,"Mike Nugent kicks off 64 yards, returned by Branden Oliver for 21 yards (tackle by Shawn Williams)",0.000,-0.410
3,14:53,1,10,SDG 22,6,14,Melvin Gordon middle for 4 yards (tackle by George Iloka),0.410,0.410
3,14:23,2,6,SDG 26,6,14,Philip Rivers pass complete short left to Keenan Allen for 13 yards (tackle by Adam Jones),0.410,1.530
3,13:54,1,10,SDG 39,6,14,Melvin Gordon middle for 3 yards (tackle by Michael Johnson and Rey Maualuga),1.530,1.390
3,13:07,2,7,SDG 42,6,14,Philip Rivers pass complete short right to Steve Johnson for 8 yards (tackle by Leon Hall),1.390,2.260
3,12:40,1,10,,6,14,Melvin Gordon middle for 20 yards (tackle by Dre Kirkpatrick),2.260,3.580
3,11:52,1,10,CIN 30,6,14,Philip Rivers pass complete short right to Steve Johnson for 15 yards (tackle by Dre Kirkpatrick). Penalty on Dre Kirkpatrick: Defensive Holding (Declined),3.580,4.580
3,11:22,1,10,CIN 15,6,14,Danny Woodhead left guard for 5 yards (tackle by Vincent Rey and Reggie Nelson),4.580,4.840
3,10:40,2,5,CIN 10,12,14,"Philip Rivers pass complete short right to Steve Johnson for 10 yards, touchdown",4.840,7.000
3,10:40,,,CIN 10,13,14,Josh Lambo kicks extra point good,0.000,0.000
3,10:40,,,SDG 35,13,14,"Josh Lambo kicks off 65 yards, touchback",0.000,-0.280
3,10:34,1,10,CIN 20,13,14,Jeremy Hill middle for 1 yard (tackle by Donald Butler and Sean Lissemore),0.280,-0.130
3,9:55,2,9,CIN 21,13,14,Andy Dalton middle for 3 yards (tackle by Corey Liuget),-0.130,-0.430
3,9:12,3,6,CIN 24,13,14,Andy Dalton pass complete short left to Tyler Eifert for 15 yards (tackle by Jason Verrett),-0.430,1.530
3,8:30,1,10,CIN 39,13,14,Jeremy Hill middle for 4 yards (tackle by Eric Weddle and Manti Te'o),1.530,1.530
3,7:53,2,6,CIN 43,13,14,"Jeremy Hill for no gain. Jeremy Hill fumbles, recovered by Jimmy Wilson at CIN-36 (tackle by Marvin Jones)",1.530,-3.180
3,7:44,1,10,CIN 36,13,14,Melvin Gordon right tackle for 1 yard (tackle by Carlos Dunlap and Geno Atkins),3.180,2.770
3,7:13,2,9,CIN 35,13,14,Philip Rivers sacked by Carlos Dunlap for -6 yards. Penalty on Chris Hairston: Offensive Holding (Declined),2.770,1.290
3,6:46,3,15,CIN 41,13,14,Philip Rivers pass complete short middle to Danny Woodhead for 12 yards (tackle by Adam Jones and Reggie Nelson),1.290,1.580
3,6:03,4,3,CIN 29,13,14,Josh Lambo 47 yard field goal no good,1.580,-1.400
3,5:58,1,10,CIN 37,13,14,Giovani Bernard left tackle for 11 yards (tackle by Jimmy Wilson),1.400,2.130
3,5:14,1,10,CIN 48,13,14,Andy Dalton pass incomplete,2.130,1.580
3,5:08,2,10,CIN 48,13,14,Andy Dalton pass incomplete short left intended for Marvin Jones (defended by Manti Te'o),1.580,0.890
3,5:04,3,10,CIN 48,13,14,"Andy Dalton pass incomplete deep right intended for A.J. Green. Penalty on Melvin Ingram: Illegal Contact, 5 yards (no play)",0.890,2.460
3,4:56,1,10,SDG 47,13,14,Andy Dalton pass complete short left to Jake Fisher for 31 yards (tackle by Eric Weddle),2.460,4.510
3,4:31,1,10,SDG 16,13,14,Andy Dalton middle for 6 yards (tackle by Eric Weddle),4.510,4.970
3,3:51,2,4,SDG 10,13,14,Giovani Bernard middle for 8 yards (tackle by Eric Weddle and Jimmy Wilson). Penalty on Melvin Ingram: Defensive Offside (Declined),4.970,6.740
3,3:35,1,2,SDG 2,13,14,Giovani Bernard left tackle for -1 yards (tackle by Darius Philon),6.740,5.530
3,2:59,2,3,SDG 3,13,14,Andy Dalton pass incomplete short right intended for Ryan Hewitt,5.530,4.720
3,2:54,3,3,SDG 3,13,14,Andy Dalton pass incomplete short right intended for Mohamed Sanu,4.720,3.040
3,2:48,4,3,SDG 3,13,17,Mike Nugent 21 yard field goal good,3.040,3.000
3,2:48,,,CIN 35,13,17,"Mike Nugent kicks off 69 yards, returned by Branden Oliver for 24 yards (tackle by Josh Shaw). Penalty on Nick Dzubnar: Unsportsmanlike Conduct, 10 yards",0.000,0.380
3,2:37,1,10,SDG 10,13,17,Philip Rivers sacked by Geno Atkins and Will Clarke for -3 yards,-0.380,-1.000
3,1:55,2,13,SDG 7,13,17,Danny Woodhead middle for 7 yards (tackle by Adam Jones),-1.000,-0.950
3,1:12,3,6,SDG 14,13,17,Philip Rivers pass complete short left to Steve Johnson for 3 yards (tackle by Adam Jones),-0.950,-2.320
3,0:41,4,3,SDG 17,13,17,"Mike Scifres punts 53 yards, returned by Adam Jones for 23 yards (tackle by John Phillips). Penalty on Josh Shaw: Offensive Holding, 10 yards",-2.320,-0.280
3,0:27,1,10,CIN 20,13,17,Giovani Bernard right guard for 7 yards (tackle by Mitch Unrein),0.280,0.680
Quarter,Time,Down,ToGo,Location,SDG,CIN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,3,CIN 27,13,17,Giovani Bernard middle for 9 yards (tackle by Darius Philon),0.680,1.330
4,14:25,1,10,CIN 36,13,17,Andy Dalton pass incomplete deep left intended for Rex Burkhead,1.330,0.790
4,14:19,2,10,CIN 36,13,17,Giovani Bernard right tackle for no gain (tackle by Manti Te'o),0.790,0.100
4,13:47,3,10,CIN 36,13,17,"Andy Dalton pass complete short middle to Marvin Jones for 12 yards (tackle by Donald Butler). Penalty on A.J. Green: Offensive Pass Interference, 10 yards (no play)",0.100,-1.220
4,13:22,3,20,CIN 26,13,17,Andy Dalton pass complete short left to Mohamed Sanu for 15 yards (tackle by Adrian Phillips and Jimmy Wilson),-1.220,-0.650
4,12:47,4,5,CIN 41,13,17,Kevin Huber punts 54 yards,-0.650,0.380
4,12:36,1,10,SDG 5,13,17,Melvin Gordon right guard for 4 yards (tackle by Wallace Gilberry and Adam Jones),-0.380,-0.490
4,11:55,2,6,SDG 9,13,17,Philip Rivers pass incomplete short left intended for Keenan Allen (defended by Adam Jones),-0.490,-0.490
4,11:50,2,6,SDG 9,13,17,Timeout #1 by Los Angeles Chargers,-0.490,-0.950
4,11:50,3,6,SDG 9,13,17,Philip Rivers sacked by Carlos Dunlap and Geno Atkins for -7 yards,-0.950,-2.490
4,11:07,4,13,SDG 2,13,17,"Mike Scifres punts 53 yards, returned by Brandon Tate for 17 yards (tackle by Denzel Perryman)",-2.490,-3.050
4,10:54,1,10,SDG 38,13,17,Giovani Bernard left tackle for 26 yards (tackle by Eric Weddle),3.050,4.780
4,10:12,1,10,SDG 12,13,17,"Giovani Bernard right guard for 4 yards. Penalty on Tyler Kroft: Offensive Holding, 10 yards",4.780,4.780
4,10:04,1,10,SDG 12,13,17,Timeout #1 by Cincinnati Bengals,4.780,4.270
4,10:04,1,16,SDG 18,13,17,"Giovani Bernard left end for 11 yards (tackle by Sean Lissemore and Corey Liuget). Penalty on Jason Verrett: Unnecessary Roughness, 4 yards",4.270,6.510
4,9:40,1,3,SDG 3,13,17,Giovani Bernard right guard for -1 yards (tackle by Kendall Reyes),6.510,5.340
4,8:58,2,4,SDG 4,13,17,Andy Dalton pass incomplete short left intended for A.J. Green (defended by Melvin Ingram),5.340,5.340
4,8:54,2,4,SDG 4,13,17,Timeout #2 by Los Angeles Chargers,5.340,4.490
4,8:54,3,4,SDG 4,13,17,"Penalty on Marvin Jones: False Start, 5 yards (no play)",4.490,3.360
4,8:54,3,9,SDG 9,13,23,"Andy Dalton pass complete short right to Tyler Eifert for 9 yards, touchdown",3.360,7.000
4,8:54,,,SDG 9,13,24,Mike Nugent kicks extra point good,0.000,0.000
4,8:54,,,CIN 35,13,24,"Mike Nugent kicks off 65 yards, touchback",0.000,-0.280
4,8:49,1,10,SDG 20,13,24,"Danny Woodhead left guard for no gain (tackle by Vincent Rey and Michael Johnson). Penalty on Orlando Franklin: Offensive Holding, 10 yards (no play)",0.280,-0.760
4,8:25,1,20,SDG 10,13,24,Philip Rivers pass complete short right to Danny Woodhead for 6 yards (tackle by Leon Hall),-0.760,-0.940
4,7:45,2,14,SDG 16,13,24,"Penalty on Joe Barksdale: False Start, 5 yards (no play)",-0.940,-1.440
4,7:23,2,19,SDG 11,13,24,"Philip Rivers pass incomplete deep left intended for Steve Johnson (defended by George Iloka). Penalty on Dre Kirkpatrick: Illegal Contact, 5 yards (no play)",-1.440,-0.140
4,7:16,1,10,SDG 16,13,24,Philip Rivers pass complete short left to Danny Woodhead for 9 yards (tackle by Emmanuel Lamur),-0.140,0.690
4,7:00,2,1,SDG 25,13,24,Danny Woodhead middle for 3 yards (tackle by Adam Jones),0.690,0.810
4,6:26,1,10,SDG 28,13,24,Philip Rivers pass incomplete intended for Ladarius Green (defended by Will Clarke),0.810,0.260
4,6:20,2,10,SDG 28,13,24,"Philip Rivers pass complete short middle to Ladarius Green for 4 yards (tackle by Dre Kirkpatrick). Penalty on Chris Watt: Offensive Holding, 10 yards (no play)",0.260,-1.190
4,6:03,2,20,SDG 18,13,24,Philip Rivers pass complete short middle to Danny Woodhead for 19 yards (tackle by Leon Hall),-1.190,0.760
4,5:37,3,1,SDG 37,13,24,Danny Woodhead left tackle for 9 yards (tackle by George Iloka),0.760,1.990
4,5:18,1,10,SDG 46,13,24,Philip Rivers pass incomplete deep right intended for Malcom Floyd (defended by Dre Kirkpatrick),1.990,1.450
4,5:12,2,10,SDG 46,13,24,Philip Rivers pass complete short middle to Ladarius Green for 9 yards (tackle by George Iloka),1.450,1.950
4,4:53,3,1,CIN 45,13,24,Danny Woodhead right tackle for 5 yards (tackle by Michael Johnson),1.950,2.920
4,4:27,1,10,CIN 40,19,24,"Philip Rivers pass complete deep right to Malcom Floyd for 40 yards, touchdown",2.920,7.000
4,4:20,1,10,CIN 40,19,24,Timeout #2 by Cincinnati Bengals,2.920,2.920
4,4:27,1,,CIN 40,19,24,"Two Point Attempt: Philip Rivers pass complete to Keenan Allen, conversion fails",2.920,-1.000
4,4:27,,,SDG 35,19,24,"Josh Lambo kicks off 69 yards, returned by Brandon Tate for 29 yards (tackle by Denzel Perryman)",0.000,-0.610
4,4:13,1,10,CIN 25,19,24,Giovani Bernard left guard for 5 yards (tackle by Manti Te'o),0.610,0.740
4,3:30,2,5,CIN 30,19,24,Giovani Bernard right tackle for 14 yards (tackle by Eric Weddle),0.740,1.860
4,2:42,1,10,CIN 44,19,24,Giovani Bernard left guard for -5 yards (tackle by Corey Liuget),1.860,1.860
4,2:32,1,10,CIN 44,19,24,Timeout #3 by Los Angeles Chargers,1.860,0.640
4,2:32,2,15,CIN 39,19,24,Giovani Bernard right guard for 2 yards (tackle by Manti Te'o),0.640,0.230
4,2:00,3,13,CIN 41,19,24,Giovani Bernard left guard for 1 yard (tackle by Corey Liuget),0.230,-0.590
4,1:19,4,12,CIN 42,19,24,"Kevin Huber punts 58 yards, touchback",-0.590,-0.280
4,1:09,1,10,SDG 20,19,24,Philip Rivers pass complete short left to Danny Woodhead for 11 yards (tackle by Emmanuel Lamur),0.280,1.000
4,1:01,1,10,SDG 31,19,24,Philip Rivers pass incomplete deep middle intended for Malcom Floyd is intercepted by Vincent Rey at SDG-48,1.000,-2.390
4,0:53,1,10,SDG 48,19,24,Andy Dalton kneels for -1 yards,2.390,1.710
4,0:37,2,11,SDG 49,19,24,Andy Dalton kneels for -1 yards,1.710,0.890
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
