Unnamed: 0,SDG,CIN
First Downs,19,20
Rush-Yds-TDs,25-131-0,36-175-0
Cmp-Att-Yd-TD-INT,21-27-241-2-1,16-26-214-3-0
Sacked-Yards,4-18,0-0
Net Pass Yards,223,214
Total Yards,354,389
Fumbles-Lost,2-2,2-2
Turnovers,3,2
Penalties-Yards,8-64,9-75
Third Down Conv.,4-11,4-10
Fourth Down Conv.,0-0,0-0
Time of Possession,30:09,29:51
