Quarter,Time,Tm,Detail,SDG,CIN
1.0,12:51,Bengals,A.J. Green 16 yard pass from Andy Dalton (Mike Nugent kick),0,7
,8:38,Chargers,Josh Lambo 40 yard field goal,3,7
2.0,9:24,Chargers,Josh Lambo 32 yard field goal,6,7
,6:01,Bengals,Marvin Jones 45 yard pass from Andy Dalton (Mike Nugent kick),6,14
3.0,10:34,Chargers,Stevie Johnson 10 yard pass from Philip Rivers (Josh Lambo kick),13,14
,2:44,Bengals,Mike Nugent 21 yard field goal,13,17
4.0,8:49,Bengals,Tyler Eifert 9 yard pass from Andy Dalton (Mike Nugent kick),13,24
,4:20,Chargers,Malcom Floyd 40 yard pass from Philip Rivers (pass failed),19,24
