Quarter,Time,Tm,Detail,CIN,TAM
1.0,12:24,Buccaneers,Patrick Murray 32 yard field goal,0,3
2.0,12:00,Buccaneers,Doug Martin 7 yard rush (Patrick Murray kick),0,10
,1:08,Bengals,Andy Dalton 5 yard rush (Mike Nugent kick),7,10
3.0,2:04,Bengals,A.J. Green 13 yard pass from Andy Dalton (Mike Nugent kick),14,10
4.0,14:12,Buccaneers,Patrick Murray 42 yard field goal,14,13
