Unnamed: 0,CIN,TAM
First Downs,19,14
Rush-Yds-TDs,28-112-1,25-75-1
Cmp-Att-Yd-TD-INT,20-28-187-1-3,15-29-190-0-1
Sacked-Yards,2-11,1-2
Net Pass Yards,176,188
Total Yards,288,263
Fumbles-Lost,0-0,2-0
Turnovers,3,1
Penalties-Yards,10-73,13-94
Third Down Conv.,5-11,2-11
Fourth Down Conv.,0-0,0-1
Time of Possession,30:37,29:23
