Quarter,Time,Tm,Detail,BUF,MIA
1.0,14:47,Bills,Terrence McGee 104 yard kickoff return (Rian Lindell kick),7,0
,12:16,Dolphins,Bryan Gilmore 27 yard pass from A.J. Feeley (Olindo Mare kick),7,7
,7:53,Bills,Tim Euhus 15 yard pass from Drew Bledsoe (Rian Lindell kick),14,7
,5:54,Dolphins,Chris Chambers 2 yard pass from A.J. Feeley (Olindo Mare kick),14,14
,2:35,Dolphins,Donald Lee 15 yard pass from A.J. Feeley (Olindo Mare kick),14,21
2.0,13:21,Dolphins,Olindo Mare 47 yard field goal,14,24
,8:39,Bills,Lee Evans 21 yard pass from Drew Bledsoe (Rian Lindell kick),21,24
3.0,0:00,Bills,Lee Evans 69 yard pass from Drew Bledsoe (Rian Lindell kick),28,24
4.0,12:41,Bills,Eric Moulds 30 yard pass from Drew Bledsoe (Rian Lindell kick),35,24
,7:14,Dolphins,Travis Minor 3 yard rush (Chris Chambers pass from A.J. Feeley),35,32
,1:55,Bills,Pat Williams 20 yard interception return (Rian Lindell kick),42,32
