Unnamed: 0,BUF,MIA
First Downs,16,25
Rush-Yds-TDs,28-105-0,26-106-1
Cmp-Att-Yd-TD-INT,19-30-277-4-0,25-51-303-3-5
Sacked-Yards,3-20,1-6
Net Pass Yards,257,297
Total Yards,362,403
Fumbles-Lost,1-1,3-2
Turnovers,1,7
Penalties-Yards,11-73,7-46
Third Down Conv.,3-13,5-12
Fourth Down Conv.,0-0,1-1
Time of Possession,29:41,30:19
