Unnamed: 0,KAN,STL
First Downs,16,28
Rush-Yds-TDs,32-186-1,28-115-1
Cmp-Att-Yd-TD-INT,10-15-148-3-0,31-42-354-1-0
Sacked-Yards,2-17,2-17
Net Pass Yards,131,337
Total Yards,317,452
Fumbles-Lost,1-0,4-3
Turnovers,0,3
Penalties-Yards,5-23,8-67
Third Down Conv.,5-12,4-11
Fourth Down Conv.,0-0,2-3
Time of Possession,25:20,34:40
