Quarter,Time,Down,ToGo,Location,KAN,STL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Rams won the coin toss, Rams to receive the opening kickoff.",,
1,15:00,,,KAN 30,0,0,"Lawrence Tynes kicks off 59 yards, returned by Tony Fisher for 17 yards (tackle by Rich Scanlon)",0.000,0.810
1,14:55,1,10,STL 28,0,0,Steven Jackson right end for 3 yards (tackle by Kawika Mitchell and Derrick Johnson),0.810,0.670
1,14:23,2,7,STL 31,0,0,Steven Jackson left guard for 3 yards (tackle by Kendrell Bell),0.670,0.370
1,13:42,3,4,STL 34,0,0,Marc Bulger pass complete short middle to Isaac Bruce for 5 yards (tackle by Ty Law),0.370,1.530
1,13:01,1,10,STL 39,0,0,Steven Jackson middle for no gain (tackle by Tamba Hali),1.530,0.990
1,12:28,2,10,STL 39,0,0,"Marc Bulger pass complete short left to Shaun McDonald for 5 yards (tackle by Derrick Johnson). Penalty on Tamba Hali: Defensive Offside, 5 yards (no play)",0.990,1.660
1,11:58,2,5,STL 44,0,0,Marc Bulger pass complete short right to Steven Jackson for 8 yards (tackle by Sammy Knight),1.660,2.390
1,11:30,1,10,KAN 48,0,0,Marc Bulger pass complete short right to Steven Jackson for 16 yards (tackle by Ty Law),2.390,3.450
1,10:59,1,10,KAN 32,0,0,Steven Jackson middle for no gain (tackle by Tamba Hali),3.450,2.900
1,10:15,2,10,KAN 32,0,0,Stephen Davis left tackle for 1 yard (tackle by Kendrell Bell),2.900,2.340
1,9:39,3,9,KAN 31,0,0,Marc Bulger sacked by Jared Allen for -9 yards,2.340,0.590
1,9:06,4,18,KAN 40,0,0,Matt Turk punts 38 yards,0.590,0.380
1,8:54,1,10,KAN 2,0,0,Larry Johnson right tackle for 3 yards (tackle by La'Roi Glover),-0.380,-0.560
1,8:24,2,7,KAN 5,0,0,"Penalty on Jason Dunn: False Start, 3 yards (no play)",-0.560,-0.780
1,8:07,2,10,KAN 2,0,0,Larry Johnson left guard for 1 yard (tackle by La'Roi Glover and Will Witherspoon),-0.780,-1.300
1,7:27,3,9,KAN 3,0,0,Larry Johnson right end for 45 yards (tackle by Corey Chavous),-1.300,2.130
1,7:01,1,10,KAN 48,0,0,Michael Bennett right tackle for 3 yards (tackle by Will Witherspoon),2.130,1.990
1,6:23,2,7,STL 49,0,0,Michael Bennett right tackle for 4 yards (tackle by Corey Chavous),1.990,1.820
1,5:47,3,3,STL 45,0,0,Damon Huard pass incomplete short right intended for Samie Parker,1.820,0.270
1,5:38,4,3,STL 45,0,0,"Dustin Colquitt punts 33 yards, muffed catch by Dane Looker, recovered by Dee Brown and returned for no gain",0.270,4.650
1,5:30,1,10,STL 14,0,0,Larry Johnson middle for no gain (tackle by Jason Fisk and Victor Adeyanju),4.650,4.000
1,4:53,2,10,STL 14,0,0,Larry Johnson middle for 7 yards (tackle by Dexter Coakley),4.000,4.500
1,4:16,3,3,STL 7,0,0,Larry Johnson left guard for 3 yards (tackle by Jimmy Kennedy),4.500,6.280
1,3:44,1,4,STL 4,0,0,Larry Johnson left tackle for no gain (tackle by Jimmy Kennedy),6.280,5.340
1,3:03,2,4,STL 4,0,0,Larry Johnson right guard for 3 yards (tackle by Victor Adeyanju),5.340,5.170
1,2:20,3,1,STL 1,6,0,"Larry Johnson left tackle for 1 yard, touchdown",5.170,7.000
1,,,,STL 2,7,0,Lawrence Tynes kicks extra point good,0.000,0.000
1,,,,KAN 30,7,0,"Lawrence Tynes kicks off 72 yards, returned by Tony Fisher for 26 yards (tackle by Kris Griffin)",0.000,0.540
1,2:07,1,10,STL 24,7,0,Marc Bulger pass complete short right to Steven Jackson for 6 yards (tackle by Ty Law),0.540,0.810
1,1:39,2,4,STL 30,7,0,"Penalty on Tamba Hali: Neutral Zone Infraction, 5 yards (no play)",0.810,1.270
1,1:18,1,10,STL 35,7,0,Steven Jackson left end for no gain (tackle by Kawika Mitchell),1.270,0.720
1,0:32,2,10,STL 35,7,0,Marc Bulger pass complete short right to Steven Jackson for 5 yards (tackle by Kawika Mitchell),0.720,0.700
Quarter,Time,Down,ToGo,Location,KAN,STL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,5,STL 40,7,0,"Marc Bulger pass incomplete short left intended for Steven Jackson. Penalty on Patrick Surtain: Defensive Holding, 5 yards (no play)",0.700,1.930
2,14:55,1,10,STL 45,7,0,Marc Bulger pass complete short left to Kevin Curtis for 8 yards (tackle by Patrick Surtain),1.930,2.460
2,14:22,2,2,KAN 47,7,0,Steven Jackson right end for 4 yards (tackle by Sammy Knight),2.460,2.720
2,13:33,1,10,KAN 43,7,0,"Marc Bulger sacked by Jared Allen for -8 yards. Marc Bulger fumbles (forced by Jared Allen), recovered by Stephen Williams at STL-49 and returned for 3 yards (tackle by Stephen Davis)",2.720,-2.520
2,13:23,1,10,STL 46,7,0,Damon Huard pass complete deep left to Samie Parker for 43 yards (tackle by Fakhir Brown),2.520,6.510
2,12:39,1,3,STL 3,13,0,"Damon Huard pass complete short left to Tony Gonzalez for 3 yards, touchdown",6.510,7.000
2,,,,STL 2,14,0,Lawrence Tynes kicks extra point good,0.000,0.000
2,,,,KAN 30,14,0,"Lawrence Tynes kicks off 64 yards, returned by Kevin Curtis for 18 yards (tackle by Jarrad Page)",0.000,0.540
2,12:28,1,10,STL 24,14,0,Steven Jackson left guard for 6 yards (tackle by Jared Allen),0.540,0.810
2,11:55,2,4,STL 30,14,0,"Steven Jackson middle for 3 yards (tackle by Keyaron Fox). Steven Jackson fumbles (forced by Keyaron Fox), recovered by Jared Allen at STL-33 (tackle by Adam Timmerman)",0.810,-3.380
2,11:45,1,10,STL 33,14,0,Damon Huard pass incomplete deep left intended for Eddie Kennison,3.380,2.840
2,11:39,2,10,STL 33,14,0,Damon Huard sacked by Leonard Little for -7 yards,2.840,1.220
2,11:04,3,17,STL 40,14,0,Larry Johnson middle for 16 yards (tackle by Corey Chavous),1.220,2.020
2,10:29,4,1,STL 24,17,0,Lawrence Tynes 42 yard field goal good,2.020,3.000
2,,,,KAN 30,17,0,"Lawrence Tynes kicks off 68 yards, returned by Kevin Curtis for 28 yards (tackle by Lawrence Tynes)",0.000,0.940
2,10:15,1,10,STL 30,17,0,Marc Bulger pass complete deep left to Isaac Bruce for 33 yards (tackle by Greg Wesley),0.940,3.120
2,9:58,1,10,KAN 37,17,0,Steven Jackson middle for 1 yard (tackle by James Reed),3.120,2.710
2,9:30,2,9,KAN 36,17,0,Marc Bulger pass complete deep left to Isaac Bruce for 23 yards (tackle by Greg Wesley),2.710,4.710
2,8:56,1,10,KAN 13,17,0,Steven Jackson right guard for 3 yards (tackle by Greg Wesley),4.710,4.580
2,8:21,,,,17,0,Timeout #1 by St. Louis Rams,0.000,4.580
2,8:21,2,7,KAN 10,17,0,Marc Bulger pass complete short middle to Steven Jackson for 8 yards (tackle by Greg Wesley),4.580,6.740
2,7:30,1,2,KAN 2,17,6,"Steven Jackson left guard for 2 yards, touchdown",6.740,7.000
2,,,,KAN 2,17,7,Jeff Wilkins kicks extra point good,0.000,0.000
2,,,,STL 30,17,7,"Jeff Wilkins kicks off 71 yards, returned by Dante Hall for 21 yards (tackle by Dane Looker)",0.000,0.280
2,6:56,1,10,KAN 20,17,7,Larry Johnson right end for 3 yards (tackle by Travis Fisher),0.280,0.140
2,6:14,2,7,KAN 23,17,7,Larry Johnson left end for 4 yards (tackle by Brandon Chillar),0.140,-0.030
2,5:32,3,3,KAN 27,17,7,Damon Huard pass incomplete short right intended for Larry Johnson,-0.030,-1.570
