Quarter,Time,Tm,Detail,SDG,KAN
1.0,5:11,Chiefs,Marc Boerigter 8 yard pass from Trent Green (Michael Husted kick),0,7
,2:01,Chargers,Steve Christie 30 yard field goal,3,7
2.0,1:15,Chiefs,Omar Easy 6 yard pass from Trent Green (Michael Husted kick),3,14
,0:14,Chargers,Steve Christie 49 yard field goal,6,14
3.0,10:56,Chiefs,Marc Boerigter 99 yard pass from Trent Green (Michael Husted kick),6,21
,7:35,Chargers,Tim Dwight 9 yard pass from Drew Brees (pass failed),12,21
,2:27,Chargers,Steve Christie 24 yard field goal,15,21
4.0,10:58,Chargers,Fred McCrary 3 yard pass from Drew Brees (Steve Christie kick),22,21
,1:08,Chiefs,Michael Husted 38 yard field goal,22,24
