Unnamed: 0,SDG,KAN
First Downs,20,19
Rush-Yds-TDs,26-148-0,24-53-0
Cmp-Att-Yd-TD-INT,26-40-242-2-0,23-36-337-3-1
Sacked-Yards,1-7,3-14
Net Pass Yards,235,323
Total Yards,383,376
Fumbles-Lost,1-1,0-0
Turnovers,1,1
Penalties-Yards,9-50,1-1
Third Down Conv.,2-12,7-16
Fourth Down Conv.,0-1,1-1
Time of Possession,29:41,30:19
