Unnamed: 0,IND,ATL
First Downs,26,13
Rush-Yds-TDs,27-118-1,30-112-0
Cmp-Att-Yd-TD-INT,22-32-272-3-1,14-30-155-1-2
Sacked-Yards,4-25,2-17
Net Pass Yards,247,138
Total Yards,365,250
Fumbles-Lost,2-0,0-0
Turnovers,1,2
Penalties-Yards,6-55,5-41
Third Down Conv.,2-9,5-15
Fourth Down Conv.,1-1,2-3
Time of Possession,29:24,30:36
