Unnamed: 0,HOU,PIT
First Downs,20,21
Rush-Yds-TDs,20-75-1,39-183-3
Cmp-Att-Yd-TD-INT,25-33-202-1-2,13-18-137-2-0
Sacked-Yards,5-43,2-15
Net Pass Yards,159,122
Total Yards,234,305
Fumbles-Lost,1-1,3-1
Turnovers,3,1
Penalties-Yards,5-43,4-41
Third Down Conv.,3-10,6-10
Fourth Down Conv.,0-1,0-0
Time of Possession,28:29,31:31
