Quarter,Time,Tm,Detail,HOU,PIT
1.0,5:44,Steelers,Willie Parker 7 yard rush (Jeff Reed kick),0,7
2.0,11:00,Steelers,Willie Parker 13 yard rush (Jeff Reed kick),0,14
,9:03,Steelers,Hines Ward 13 yard pass from Ben Roethlisberger (Jeff Reed kick),0,21
,4:29,Texans,Kris Brown 34 yard field goal,3,21
3.0,9:10,Steelers,Willie Parker 4 yard rush (Jeff Reed kick),3,28
,2:04,Steelers,Hines Ward 16 yard pass from Ben Roethlisberger (Jeff Reed kick),3,35
4.0,9:00,Texans,Kevin Walter 14 yard pass from Matt Schaub (Kris Brown kick),10,35
,5:24,Steelers,Jeff Reed 44 yard field goal,10,38
,1:14,Texans,Matt Schaub 4 yard rush (Kris Brown kick),17,38
