Quarter,Time,Tm,Detail,BAL,MIA
1.0,8:17,Dolphins,Dan Carpenter 19 yard field goal,0,3
,2:47,Ravens,Matt Stover 23 yard field goal,3,3
2.0,2:30,Ravens,Ed Reed 64 yard interception return (Matt Stover kick),10,3
,0:16,Ravens,Matt Stover 31 yard field goal,13,3
3.0,7:33,Ravens,Le'Ron McClain 8 yard rush (Matt Stover kick),20,3
4.0,13:09,Dolphins,Ronnie Brown 2 yard pass from Chad Pennington (Dan Carpenter kick failed),20,9
,3:53,Ravens,Joe Flacco 5 yard rush (Matt Stover kick),27,9
