Unnamed: 0,BAL,MIA
First Downs,16,18
Rush-Yds-TDs,33-151-2,21-52-0
Cmp-Att-Yd-TD-INT,9-23-135-0-0,25-38-252-1-4
Sacked-Yards,0-0,3-28
Net Pass Yards,135,224
Total Yards,286,276
Fumbles-Lost,1-1,2-1
Turnovers,1,5
Penalties-Yards,7-59,4-34
Third Down Conv.,5-12,2-10
Fourth Down Conv.,0-0,0-1
Time of Possession,26:34,33:26
