Unnamed: 0,MIA,MIN
First Downs,12,22
Rush-Yds-TDs,20-156-1,40-220-3
Cmp-Att-Yd-TD-INT,11-24-108-0-0,14-21-215-2-1
Sacked-Yards,9-71,2-17
Net Pass Yards,37,198
Total Yards,193,418
Fumbles-Lost,1-0,0-0
Turnovers,0,1
Penalties-Yards,8-49,6-45
Third Down Conv.,2-12,5-13
Fourth Down Conv.,0-2,0-0
Time of Possession,26:44,33:16
