Quarter,Time,Down,ToGo,Location,MIA,MIN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Dolphins won the coin toss and deferred, Vikings to receive the opening kickoff.",,
1,15:00,,,MIA 35,0,0,"Jason Sanders kicks off 65 yards, returned by Ameer Abdullah for no gain (tackle by Brandon Bolden)",0.000,0.540
1,14:56,1,10,MIN 24,0,0,Dalvin Cook left guard for 6 yards (tackle by Cameron Wake),0.540,0.810
1,14:23,2,4,MIN 30,0,0,Kirk Cousins pass complete short right to Dalvin Cook for 27 yards (tackle by Bobby McCain),0.810,2.720
1,13:41,1,10,MIA 43,0,0,Latavius Murray left guard for 6 yards (tackle by Bobby McCain),2.720,2.990
1,13:10,2,4,MIA 37,0,0,"Kirk Cousins pass complete deep right to Adam Thielen for 16 yards (tackle by T.J. McDonald). Penalty on Pat Elflein: Ineligible Downfield Pass, 5 yards (no play)",2.990,2.310
1,12:47,2,9,MIA 42,0,0,Dalvin Cook left tackle for 26 yards (tackle by T.J. McDonald),2.310,4.510
1,12:05,1,10,MIA 16,0,0,Latavius Murray right tackle for 3 yards (tackle by Jerome Baker),4.510,4.390
1,11:44,2,7,MIA 13,0,6,"Kirk Cousins pass complete short right to Stefon Diggs for 13 yards, touchdown",4.390,7.000
1,11:40,,,MIA 15,0,7,Dan Bailey kicks extra point good,0.000,0.000
1,11:40,,,MIN 35,0,7,"Dan Bailey kicks off 67 yards, returned by Kenyan Drake for no gain (tackle by Kentrell Brothers)",0.000,0.040
1,11:36,1,10,MIA 18,0,7,Ryan Tannehill pass complete short left to Mike Gesicki for 14 yards (tackle by Anthony Harris),0.040,1.070
1,11:01,1,10,MIA 32,0,7,Frank Gore left guard for 3 yards (tackle by Anthony Barr),1.070,0.930
1,10:22,2,7,MIA 35,0,7,Frank Gore up the middle for -2 yards (tackle by Danielle Hunter),0.930,-0.030
1,9:37,3,9,MIA 33,0,7,Ryan Tannehill pass incomplete deep middle intended for Danny Amendola (defended by Mackensie Alexander),-0.030,-1.180
1,9:32,4,9,MIA 33,0,7,"Matt Haack punts 48 yards, returned by Marcus Sherels for 21 yards (tackle by Senorise Perry)",-1.180,-1.600
1,9:20,1,10,MIN 40,0,7,Dalvin Cook up the middle for 5 yards (tackle by Raekwon McMillan and Kiko Alonso),1.600,1.730
1,8:49,2,5,MIN 45,0,7,"Kirk Cousins pass incomplete deep left intended for Adam Thielen. Penalty on Sylvester Williams: Defensive Offside, 4 yards (no play)",1.730,2.270
1,8:42,2,1,MIN 49,0,7,Kirk Cousins up the middle for 3 yards (tackle by Kiko Alonso),2.270,2.390
1,8:05,1,10,MIA 48,0,7,Dalvin Cook up the middle for 11 yards (tackle by Minkah Fitzpatrick),2.390,3.120
