#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,15:00,MIN 24,6,3:20,76,Touchdown
2,1,9:20,MIN 40,6,2:59,60,Touchdown
3,1,5:10,MIN 30,7,3:38,70,Touchdown
4,2,12:45,MIN 20,10,5:01,33,Interception
5,2,7:44,MIN 25,3,1:27,5,Punt
6,2,0:14,MIN 25,1,0:14,2,End of Half
7,3,14:49,MIN 25,3,1:09,6,Punt
8,3,9:59,MIA 22,4,1:19,4,Field Goal
9,3,7:34,MIN 32,6,3:15,3,Punt
10,3,2:36,MIN 27,9,4:35,57,Field Goal
11,4,11:58,MIN 45,4,2:04,55,Touchdown
12,4,7:58,MIA 16,1,0:09,16,Touchdown
13,4,4:06,MIA 43,6,4:06,15,End of Game
