Quarter,Time,Tm,Detail,MIA,MIN
1.0,11:40,Vikings,Stefon Diggs 13 yard pass from Kirk Cousins (Dan Bailey kick),0,7
,6:21,Vikings,Dalvin Cook 13 yard rush (Dan Bailey kick),0,14
,1:32,Vikings,Latavius Murray 18 yard rush (Dan Bailey kick),0,21
2.0,7:44,Dolphins,Minkah Fitzpatrick 50 yard interception return (Jason Sanders kick),7,21
,0:14,Dolphins,Jason Sanders 25 yard field goal,10,21
3.0,14:49,Dolphins,Kalen Ballage 75 yard rush (Jason Sanders kick),17,21
,8:40,Vikings,Dan Bailey 36 yard field goal,17,24
4.0,13:01,Vikings,Dan Bailey 34 yard field goal,17,27
,9:54,Vikings,Aldrick Robinson 40 yard pass from Kirk Cousins (Dan Bailey kick),17,34
,7:49,Vikings,Dalvin Cook 21 yard rush (Dan Bailey kick),17,41
