Unnamed: 0,CHI,GNB
First Downs,11,26
Rush-Yds-TDs,27-180-1,38-203-1
Cmp-Att-Yd-TD-INT,7-11-70-0-1,19-25-234-2-0
Sacked-Yards,3-22,3-23
Net Pass Yards,48,211
Total Yards,228,414
Fumbles-Lost,1-0,3-1
Turnovers,1,1
Penalties-Yards,7-50,3-25
Third Down Conv.,1-7,5-9
Fourth Down Conv.,0-1,0-0
Time of Possession,22:45,37:15
