Quarter,Time,Tm,Detail,KAN,OAK
1.0,12:35,Chiefs,Kendrick Lewis 59 yard interception return (Ryan Succop kick),7,0
,1:53,Chiefs,Le'Ron McClain 1 yard rush (Ryan Succop kick),14,0
3.0,10:25,Chiefs,Javier Arenas 7 yard rush (Ryan Succop kick),21,0
4.0,14:20,Chiefs,Brandon Flowers 58 yard interception return (Ryan Succop kick),28,0
