Unnamed: 0,KAN,OAK
First Downs,22,18
Rush-Yds-TDs,39-139-2,27-155-0
Cmp-Att-Yd-TD-INT,15-30-161-0-2,15-35-177-0-6
Sacked-Yards,0-0,1-10
Net Pass Yards,161,167
Total Yards,300,322
Fumbles-Lost,0-0,2-0
Turnovers,2,6
Penalties-Yards,10-98,14-120
Third Down Conv.,7-15,4-13
Fourth Down Conv.,0-0,0-1
Time of Possession,33:37,26:23
