Quarter,Time,Tm,Detail,ATL,PHI
1.0,7:58,Eagles,Bobby Taylor 39 yard interception return (David Akers kick),0,7
,3:47,Eagles,David Akers 34 yard field goal,0,10
2.0,10:05,Eagles,David Akers 39 yard field goal,0,13
,4:10,Falcons,Jay Feely 34 yard field goal,3,13
,0:00,Falcons,Jay Feely 52 yard field goal,6,13
4.0,6:26,Eagles,James Thrash 35 yard pass from Donovan McNabb (David Akers kick),6,20
