Unnamed: 0,ATL,PHI
First Downs,19,15
Rush-Yds-TDs,24-93-0,26-91-0
Cmp-Att-Yd-TD-INT,23-39-288-0-2,20-30-247-1-0
Sacked-Yards,3-27,2-20
Net Pass Yards,261,227
Total Yards,354,318
Fumbles-Lost,2-0,2-0
Turnovers,2,0
Penalties-Yards,9-95,3-30
Third Down Conv.,7-15,4-14
Fourth Down Conv.,0-1,1-1
Time of Possession,30:33,29:27
