Unnamed: 0,OAK,ARI
First Downs,20,18
Rush-Yds-TDs,33-133-1,26-119-0
Cmp-Att-Yd-TD-INT,17-34-255-1-1,12-26-122-2-1
Sacked-Yards,3-24,2-14
Net Pass Yards,231,108
Total Yards,364,227
Fumbles-Lost,2-0,2-2
Turnovers,1,3
Penalties-Yards,11-123,7-104
Third Down Conv.,4-15,5-13
Fourth Down Conv.,1-1,1-1
Time of Possession,32:58,27:02
