Unnamed: 0,WAS,DAL
First Downs,25,24
Rush-Yds-TDs,19-56-0,30-163-3
Cmp-Att-Yd-TD-INT,41-53-449-3-0,17-24-195-1-0
Sacked-Yards,0-0,1-5
Net Pass Yards,449,190
Total Yards,505,353
Fumbles-Lost,1-0,0-0
Turnovers,0,0
Penalties-Yards,3-30,3-25
Third Down Conv.,8-15,4-8
Fourth Down Conv.,2-2,0-0
Time of Possession,33:24,26:36
