Quarter,Time,Tm,Detail,WAS,DAL
1.0,11:09,Cowboys,Ezekiel Elliott 4 yard rush (Dan Bailey kick),0,7
2.0,14:04,Redskins,Dustin Hopkins 24 yard field goal,3,7
,7:57,Cowboys,Dan Bailey 46 yard field goal,3,10
,1:45,Cowboys,Terrance Williams 10 yard pass from Dak Prescott (Dan Bailey kick),3,17
,0:03,Redskins,Dustin Hopkins 20 yard field goal,6,17
4.0,14:54,Redskins,Jordan Reed 5 yard pass from Kirk Cousins (pass failed),12,17
,10:49,Cowboys,Dak Prescott 6 yard rush (Dan Bailey kick),12,24
,9:22,Redskins,DeSean Jackson 67 yard pass from Kirk Cousins (Dustin Hopkins kick),19,24
,6:29,Cowboys,Ezekiel Elliott 1 yard rush (Dan Bailey kick),19,31
,1:53,Redskins,Jordan Reed 8 yard pass from Kirk Cousins (Dustin Hopkins kick),26,31
