Quarter,Time,Tm,Detail,CAR,NWE
1.0,11:47,Patriots,Stephen Gostkowski 41 yard field goal,0,3
,7:41,Panthers,Graham Gano 32 yard field goal,3,3
2.0,12:39,Patriots,Chris Hogan 2 yard pass from Tom Brady (Stephen Gostkowski kick),3,10
,9:41,Panthers,Fozzy Whittaker 28 yard pass from Cam Newton (Graham Gano kick),10,10
,4:30,Patriots,Stephen Gostkowski 35 yard field goal,10,13
,0:26,Panthers,Devin Funchess 10 yard pass from Cam Newton (Graham Gano kick),17,13
,0:00,Patriots,Stephen Gostkowski 58 yard field goal,17,16
3.0,2:47,Panthers,Devin Funchess 16 yard pass from Cam Newton (Graham Gano kick failed),23,16
4.0,12:58,Panthers,Cam Newton 7 yard rush (Graham Gano kick),30,16
,8:46,Patriots,Dion Lewis 8 yard rush (Stephen Gostkowski kick),30,23
,3:09,Patriots,Danny Amendola 1 yard pass from Tom Brady (Stephen Gostkowski kick),30,30
,0:00,Panthers,Graham Gano 48 yard field goal,33,30
