Quarter,Time,Down,ToGo,Location,CAR,NWE,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Panthers won the coin toss and deferred, Patriots to receive the opening kickoff.",,
1,15:00,,,CAR 35,0,0,"Graham Gano kicks off 65 yards, touchback",0.000,-0.610
1,15:00,1,10,NWE 25,0,0,Tom Brady pass complete short right to Brandin Cooks for 5 yards (tackle by James Bradberry),0.610,0.740
1,14:31,2,5,NWE 30,0,0,Tom Brady pass complete short middle to Rob Gronkowski for 17 yards (tackle by Mike Adams and Kurt Coleman),0.740,2.060
1,13:45,1,10,NWE 47,0,0,Tom Brady pass complete short right to Danny Amendola for 6 yards (tackle by Luke Kuechly),2.060,2.330
1,13:07,2,4,CAR 47,0,0,Tom Brady pass complete short left to Danny Amendola for 16 yards (tackle by Shaq Thompson),2.330,3.510
1,12:32,1,10,CAR 31,0,0,Tom Brady pass incomplete deep left intended for Brandin Cooks,3.510,2.970
1,12:26,2,10,CAR 31,0,0,Tom Brady pass incomplete short right intended for James White,2.970,2.280
1,12:23,3,10,CAR 31,0,0,Tom Brady pass complete short right to Chris Hogan for 8 yards (tackle by Kurt Coleman and Julius Peppers),2.280,2.050
1,11:52,4,2,CAR 23,0,3,Stephen Gostkowski 41 yard field goal good,2.050,3.000
1,11:47,,,NWE 35,0,3,"Stephen Gostkowski kicks off 65 yards, touchback",0.000,-0.610
1,11:47,1,10,CAR 25,0,3,Jonathan Stewart middle for 1 yard,0.610,0.200
1,11:08,2,9,CAR 26,0,3,Cam Newton pass complete short right to Devin Funchess for 14 yards (tackle by Malcolm Butler),0.200,1.600
1,10:40,1,10,CAR 40,0,3,Cam Newton pass complete deep middle to Ed Dickson for 25 yards (tackle by Trey Flowers),1.600,3.250
1,10:00,1,10,NWE 35,0,3,Cam Newton pass complete short right to Ed Dickson for 13 yards (tackle by Patrick Chung),3.250,4.110
1,9:20,1,10,NWE 22,0,3,Christian McCaffrey right end for 4 yards (tackle by Patrick Chung and Malcolm Butler),4.110,4.130
1,8:34,2,6,NWE 18,0,3,Cam Newton pass incomplete deep left intended for Devin Funchess,4.130,3.400
1,8:28,3,6,NWE 18,0,3,Cam Newton right tackle for 4 yards (tackle by Cassius Marsh and Devin McCourty),3.400,2.630
1,7:45,4,2,NWE 14,3,3,Graham Gano 32 yard field goal good,2.630,3.000
1,7:41,,,CAR 35,3,3,"Graham Gano kicks off 65 yards, touchback",0.000,-0.610
1,7:41,1,10,NWE 25,3,3,Mike Gillislee right tackle for 5 yards (tackle by James Bradberry),0.610,0.740
1,7:05,2,5,NWE 30,3,3,Tom Brady pass complete short left to James Develin for 6 yards (tackle by Shaq Thompson),0.740,1.330
1,6:24,1,10,NWE 36,3,3,Tom Brady pass complete short right to James White for 5 yards (tackle by Luke Kuechly and Shaq Thompson),1.330,1.470
1,5:45,2,5,NWE 41,3,3,Tom Brady pass incomplete short middle intended for Chris Hogan,1.470,0.760
1,5:40,3,5,NWE 41,3,3,"Tom Brady pass complete short left to Rob Gronkowski for 14 yards (tackle by James Bradberry and Mike Adams). Penalty on Danny Amendola: Offensive Pass Interference, 10 yards (no play)",0.760,-0.560
1,5:10,3,15,NWE 31,3,3,Tom Brady sacked by Kawann Short for -3 yards,-0.560,-1.500
1,4:35,4,18,NWE 28,3,3,"Ryan Allen punts 48 yards, returned by Christian McCaffrey for 12 yards (tackle by James Develin)",-1.500,-1.330
1,4:27,1,10,CAR 36,3,3,Christian McCaffrey left guard for 5 yards (tackle by Trey Flowers),1.330,1.470
1,3:59,2,5,CAR 41,3,3,Jonathan Stewart middle for 2 yards (tackle by Elandon Roberts and Malcom Brown),1.470,1.030
1,3:20,3,3,CAR 43,3,3,Cam Newton pass incomplete deep right intended for Damiere Byrd is intercepted by Malcolm Butler at NWE-28 and returned for -2 yards,1.030,-0.670
1,3:11,1,10,NWE 26,3,3,Mike Gillislee right end for 9 yards (tackle by Luke Kuechly),0.670,1.350
1,2:42,2,1,NWE 35,3,3,Mike Gillislee left end for 8 yards (tackle by Luke Kuechly),1.350,1.800
1,2:05,1,10,NWE 43,3,3,Mike Gillislee left guard for no gain (tackle by Luke Kuechly),1.800,1.250
1,1:27,2,10,NWE 43,3,3,Tom Brady pass complete short left to James Develin for 8 yards (tackle by Luke Kuechly),1.250,1.620
1,0:53,3,2,CAR 49,3,3,Tom Brady pass complete short left to James White for 3 yards (tackle by Shaq Thompson),1.620,2.520
1,0:07,1,10,CAR 46,3,3,Tom Brady pass complete short left to James White for 4 yards (tackle by Mike Adams),2.520,2.520
Quarter,Time,Down,ToGo,Location,CAR,NWE,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,6,CAR 42,3,3,"Tom Brady pass complete short right to Rob Gronkowski for 10 yards (tackle by Luke Kuechly). Penalty on Rob Gronkowski: Offensive Pass Interference, 10 yards (no play)",2.520,1.170
2,14:35,2,16,NWE 48,3,3,"Tom Brady pass incomplete deep right intended for Rob Gronkowski. Penalty on Mike Adams: Defensive Pass Interference, 33 yards (no play)",1.170,4.310
2,14:21,1,10,CAR 19,3,3,Tom Brady pass complete short right to Dion Lewis for 9 yards (tackle by Shaq Thompson),4.310,5.360
2,13:43,2,1,CAR 10,3,3,Mike Gillislee left tackle for 4 yards (tackle by Luke Kuechly),5.360,5.830
2,13:26,1,6,CAR 6,3,3,Dion Lewis left guard for 4 yards (tackle by Demetrious Cox and Luke Kuechly),5.830,5.720
2,12:47,2,2,CAR 2,3,3,Tom Brady pass incomplete short middle intended for Jacob Hollister,5.720,4.950
