Unnamed: 0,SFO,NOR
First Downs,22,17
Rush-Yds-TDs,34-180-3,24-46-0
Cmp-Att-Yd-TD-INT,18-32-205-0-1,25-34-279-3-0
Sacked-Yards,2-15,3-23
Net Pass Yards,190,256
Total Yards,370,302
Fumbles-Lost,4-2,4-1
Turnovers,3,1
Penalties-Yards,10-125,9-86
Third Down Conv.,5-13,6-14
Fourth Down Conv.,0-0,0-0
Time of Possession,31:51,28:09
