Unnamed: 0,NWE,CLE
First Downs,27,16
Rush-Yds-TDs,50-225-3,17-46-0
Cmp-Att-Yd-TD-INT,14-26-201-1-1,20-35-277-2-2
Sacked-Yards,2-14,3-36
Net Pass Yards,187,241
Total Yards,412,287
Fumbles-Lost,4-2,2-2
Turnovers,3,4
Penalties-Yards,7-60,7-84
Third Down Conv.,8-15,2-10
Fourth Down Conv.,1-3,1-3
Time of Possession,39:08,20:52
