Quarter,Time,Tm,Detail,NWE,CLE
1.0,14:46,Patriots,Bethel Johnson 93 yard kickoff return (Adam Vinatieri kick),7,0
,0:16,Patriots,Corey Dillon 4 yard rush (Adam Vinatieri kick),14,0
2.0,6:54,Patriots,Corey Dillon 1 yard rush (Adam Vinatieri kick),21,0
,0:50,Browns,Antonio Bryant 16 yard pass from Luke McCown (Phil Dawson kick),21,7
3.0,13:27,Patriots,Randall Gay 41 yard defensive fumble return (Adam Vinatieri kick),28,7
,7:28,Patriots,Kevin Faulk 10 yard rush (Adam Vinatieri kick),35,7
,6:00,Patriots,David Patten 44 yard pass from Tom Brady (Adam Vinatieri kick),42,7
4.0,10:02,Browns,Antonio Bryant 40 yard pass from Luke McCown (Steve Heiden pass from Luke McCown),42,15
