Unnamed: 0,NOR,CAR
First Downs,25,16
Rush-Yds-TDs,35-115-2,18-41-1
Cmp-Att-Yd-TD-INT,20-31-267-3-0,26-49-299-0-2
Sacked-Yards,1-3,2-11
Net Pass Yards,264,288
Total Yards,379,329
Fumbles-Lost,0-0,1-1
Turnovers,0,3
Penalties-Yards,3-44,5-54
Third Down Conv.,4-11,5-16
Fourth Down Conv.,0-0,1-2
Time of Possession,35:40,24:20
