Quarter,Time,Tm,Detail,NOR,CAR
1.0,10:48,Saints,Alvin Kamara 15 yard rush (Wil Lutz kick),7,0
,1:01,Saints,Alvin Kamara 1 yard rush (Wil Lutz kick),14,0
2.0,12:04,Saints,A.J. Klein 14 yard interception return (Wil Lutz kick),21,0
,6:27,Saints,Tre'Quan Smith 1 yard pass from Drew Brees (Wil Lutz kick),28,0
,2:11,Saints,Jared Cook 21 yard pass from Drew Brees (Wil Lutz kick),35,0
,0:32,Panthers,Joey Slye 23 yard field goal,35,3
3.0,4:24,Saints,Taysom Hill 45 yard pass from Drew Brees (Wil Lutz kick),42,3
,0:32,Panthers,Christian McCaffrey 1 yard rush (Joey Slye kick),42,10
