Quarter,Time,Tm,Detail,IND,HOU
1.0,14:39,Texans,Jerome Mathis 84 yard kickoff return (Kris Brown kick),0,7
,6:06,Colts,Dallas Clark 2 yard pass from Peyton Manning (Adam Vinatieri kick),7,7
2.0,14:18,Texans,Kris Brown 33 yard field goal,7,10
,8:46,Colts,Joseph Addai 4 yard rush (Adam Vinatieri kick),14,10
3.0,10:32,Colts,Adam Vinatieri 36 yard field goal,17,10
,8:38,Colts,Joseph Addai 8 yard rush (Adam Vinatieri kick),24,10
,2:41,Colts,Adam Vinatieri 28 yard field goal,27,10
4.0,14:21,Texans,Samkon Gado 1 yard rush (Kris Brown kick),27,17
,10:40,Colts,Adam Vinatieri 35 yard field goal,30,17
,2:49,Texans,Vonta Leach 1 yard pass from Matt Schaub (Kris Brown kick),30,24
