Unnamed: 0,LVR,CIN
First Downs,23,18
Rush-Yds-TDs,14-103-0,25-83-0
Cmp-Att-Yd-TD-INT,29-54-310-1-1,24-34-244-2-0
Sacked-Yards,3-28,2-19
Net Pass Yards,282,225
Total Yards,385,308
Fumbles-Lost,2-1,0-0
Turnovers,2,0
Penalties-Yards,7-46,7-56
Third Down Conv.,8-18,5-12
Fourth Down Conv.,1-2,1-1
Time of Possession,28:09,31:51
