Quarter,Time,Tm,Detail,LVR,CIN
1.0,9:23,Raiders,Daniel Carlson 47 yard field goal,3,0
,4:31,Bengals,C.J. Uzomah 7 yard pass from Joe Burrow (Evan McPherson kick),3,7
,1:15,Bengals,Evan McPherson 31 yard field goal,3,10
2.0,10:20,Bengals,Evan McPherson 30 yard field goal,3,13
,7:55,Raiders,Daniel Carlson 28 yard field goal,6,13
,1:51,Bengals,Tyler Boyd 10 yard pass from Joe Burrow (Evan McPherson kick),6,20
,0:13,Raiders,Zay Jones 14 yard pass from Derek Carr (Daniel Carlson kick),13,20
3.0,10:56,Bengals,Evan McPherson 43 yard field goal,13,23
4.0,14:17,Raiders,Daniel Carlson 34 yard field goal,16,23
,6:46,Bengals,Evan McPherson 28 yard field goal,16,26
,3:34,Raiders,Daniel Carlson 28 yard field goal,19,26
