Quarter,Time,Down,ToGo,Location,LVR,CIN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Bengals won the coin toss and deferred, Raiders to receive the opening kickoff.",,
1,15:00,,,CIN 35,0,0,"Evan McPherson kicks off 65 yards, touchback.",,
1,15:00,1,10,LVR 25,0,0,Josh Jacobs left guard for 5 yards (tackle by Germaine Pratt and Mike Hilton),,
1,14:29,2,5,LVR 30,0,0,Josh Jacobs left tackle for 3 yards (tackle by Logan Wilson),,
1,13:52,3,2,LVR 33,0,0,Derek Carr pass complete deep right to Zay Jones for 17 yards (tackle by Jessie Bates),,
1,13:16,1,10,LVR 50,0,0,Derek Carr pass complete short left to Hunter Renfrow for 6 yards (tackle by Mike Hilton),,
1,12:45,2,4,CIN 44,0,0,Josh Jacobs right guard for 1 yard (tackle by D.J. Reader and Germaine Pratt),,
1,11:58,3,3,CIN 43,0,0,Derek Carr pass complete short left to Darren Waller for 8 yards (tackle by Germaine Pratt),,
1,11:18,1,10,CIN 35,0,0,Derek Carr pass complete short middle to Josh Jacobs for 9 yards (tackle by Logan Wilson and Germaine Pratt),,
1,10:40,2,1,CIN 26,0,0,"Penalty on Darren Waller: False Start, 4 yards (accepted) (no play)",,
1,10:18,2,5,CIN 30,0,0,Josh Jacobs left guard for 2 yards (tackle by Germaine Pratt and Sam Hubbard),,
1,9:36,3,3,CIN 28,0,0,Derek Carr pass incomplete deep right intended for Hunter Renfrow (defended by Mike Hilton),,
1,9:28,4,3,CIN 28,3,0,Daniel Carlson 47 yard field goal good,,
1,9:23,,,LVR 35,3,0,"Daniel Carlson kicks off 54 yards, returned by Chris Evans for 14 yards (tackle by Nate Hobbs and Marquel Lee)",,
1,9:18,1,10,CIN 25,3,0,Joe Burrow pass incomplete short left intended for Ja'Marr Chase,,
1,9:14,2,10,CIN 25,3,0,Joe Burrow pass complete short right to Ja'Marr Chase for 11 yards (tackle by Brandon Facyson),,
1,8:39,1,10,CIN 36,3,0,Joe Mixon right guard for 3 yards (tackle by Denzel Perryman and Divine Deablo),,
1,8:02,2,7,CIN 39,3,0,Joe Burrow pass complete deep right to Ja'Marr Chase for 17 yards,,
1,7:27,1,10,LVR 44,3,0,Joe Mixon left end for 4 yards (tackle by Denzel Perryman),,
1,6:40,2,6,LVR 40,3,0,Joe Burrow pass complete short left to Ja'Marr Chase for 9 yards (tackle by Brandon Facyson),,
1,6:03,1,10,LVR 31,3,0,Joe Burrow pass complete short left to Joe Mixon for 21 yards (tackle by Trevon Moehrig),,
1,5:23,1,10,LVR 10,3,0,Joe Burrow pass incomplete short right intended for Tee Higgins,,
1,5:16,2,10,LVR 10,3,0,Joe Mixon right end for 3 yards (tackle by Divine Deablo and Denzel Perryman),,
1,4:36,3,7,LVR 7,3,6,"Joe Burrow pass complete short right to C.J. Uzomah for 7 yards, touchdown",,
1,4:31,,,LVR 15,3,7,Evan McPherson kicks extra point good,,
1,4:31,,,CIN 35,3,7,"Evan McPherson kicks off 65 yards, touchback.",,
1,4:31,1,10,LVR 25,3,7,Derek Carr pass complete short left to Zay Jones for 13 yards (tackle by Chidobe Awuzie),,
1,3:51,1,10,LVR 38,3,7,Derek Carr pass incomplete short left,,
1,3:47,2,10,LVR 38,3,7,"Penalty on Kolton Miller: False Start, 5 yards (accepted) (no play)",,
1,3:47,2,15,LVR 33,3,7,Derek Carr pass complete short left to Hunter Renfrow for 7 yards (tackle by Logan Wilson),,
1,3:11,3,8,LVR 40,3,7,"Derek Carr sacked by Trey Hendrickson for -14 yards. Derek Carr fumbles (forced by Trey Hendrickson), recovered by Larry Ogunjobi at LV-26 and returned for 11 yards (tackle by Kolton Miller)",,
1,3:01,1,10,LVR 15,3,7,Joe Mixon left guard for 5 yards (tackle by Divine Deablo and Quinton Jefferson),,
1,2:25,2,5,LVR 10,3,7,Joe Mixon left end for 2 yards (tackle by Maxx Crosby),,
1,1:44,3,3,LVR 8,3,7,"Penalty on Hakeem Adeniji: False Start, 5 yards (accepted) (no play)",,
1,1:26,3,8,LVR 13,3,7,Joe Burrow pass incomplete short right,,
1,1:18,4,8,LVR 13,3,10,Evan McPherson 31 yard field goal good,,
1,1:15,,,CIN 35,3,10,"Evan McPherson kicks off 63 yards, returned by Peyton Barber for no gain",,
1,1:15,1,10,LVR 2,3,10,Josh Jacobs right guard for 2 yards (tackle by Logan Wilson and Chidobe Awuzie),,
1,0:37,2,8,LVR 4,3,10,"Penalty on Brandon Parker: False Start, 2 yards (accepted) (no play)",,
1,0:22,2,10,LVR 2,3,10,Derek Carr pass complete short left to Darren Waller for 6 yards (tackle by Germaine Pratt),,
Quarter,Time,Down,ToGo,Location,LVR,CIN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,4,LVR 8,3,10,Derek Carr sacked by Sam Hubbard for -7 yards,,
2,14:23,4,11,LVR 1,3,10,"AJ Cole punts 58 yards, returned by Trent Taylor for 14 yards (tackle by Kyle Wilber)",,
2,14:12,1,10,LVR 45,3,10,Joe Mixon left guard for 5 yards (tackle by Carl Nassib and Denzel Perryman),,
2,13:34,2,5,LVR 40,3,10,Ja'Marr Chase right end for 7 yards (tackle by Divine Deablo and Nate Hobbs),,
2,12:49,1,10,LVR 33,3,10,Joe Burrow pass complete short right to Joe Mixon for -1 yards (tackle by Desmond Trufant),,
2,12:24,2,11,LVR 34,3,10,Joe Burrow pass complete deep right to Ja'Marr Chase for 28 yards,,
2,11:57,1,6,LVR 6,3,10,Joe Burrow pass incomplete short right intended for Joe Mixon,,
2,11:49,2,6,LVR 6,3,10,Joe Mixon up the middle for 2 yards (tackle by Quinton Jefferson and Maxx Crosby),,
2,11:09,3,4,LVR 4,3,10,Joe Burrow sacked by Quinton Jefferson for -8 yards,,
2,10:21,4,12,LVR 12,3,13,Evan McPherson 30 yard field goal good,,
2,10:20,,,CIN 35,3,13,"Evan McPherson kicks off 61 yards, returned by Tyron Johnson for 35 yards (tackle by Ricardo Allen)",,
2,10:13,1,10,LVR 39,3,13,Josh Jacobs left guard for 14 yards (tackle by Vonn Bell and Jessie Bates),,
2,9:32,1,10,CIN 47,3,13,Josh Jacobs right tackle for 35 yards (tackle by Mike Hilton),,
2,8:50,1,10,CIN 12,3,13,Josh Jacobs right tackle for 2 yards (tackle by Logan Wilson and Jessie Bates),,
2,8:11,2,8,CIN 10,3,13,Derek Carr pass incomplete short middle intended for Foster Moreau (defended by Mike Hilton),,
2,8:03,3,8,CIN 10,3,13,Derek Carr pass incomplete short left intended for DeSean Jackson,,
2,7:58,4,8,CIN 10,6,13,Daniel Carlson 28 yard field goal good,,
2,7:55,,,LVR 35,6,13,"Daniel Carlson kicks off 63 yards, recovered by Chris Evans at CIN-4 returned by Chris Evans for 14 yards (tackle by Nate Hobbs)",,
2,7:49,1,10,CIN 18,6,13,Joe Burrow pass complete short left to C.J. Uzomah for 5 yards (tackle by Denzel Perryman and Divine Deablo),,
2,7:14,2,5,CIN 23,6,13,Joe Mixon right end for 4 yards (tackle by Nate Hobbs),,
2,6:31,3,1,CIN 27,6,13,Joe Burrow pass complete short middle to Tyler Boyd for 5 yards (tackle by Roderic Teamer),,
2,5:45,1,10,CIN 32,6,13,Joe Mixon up the middle for -1 yards (tackle by Damion Square),,
2,5:09,2,11,CIN 31,6,13,Joe Burrow pass complete deep middle to C.J. Uzomah for 29 yards (tackle by Divine Deablo and Roderic Teamer),,
2,4:27,1,10,LVR 40,6,13,Joe Burrow pass incomplete deep left intended for Ja'Marr Chase (defended by Casey Hayward),,
2,4:20,2,10,LVR 40,6,13,Chris Evans left guard for 9 yards (tackle by Yannick Ngakoue and Dallin Leavitt),,
2,3:36,3,1,LVR 31,6,13,Joe Burrow pass incomplete short middle intended for Tyler Boyd (defended by Nate Hobbs),,
2,3:33,4,1,LVR 31,6,13,Ja'Marr Chase right end for 15 yards (tackle by Divine Deablo),,
2,2:57,1,10,LVR 16,6,13,Joe Burrow pass complete short right to Joe Mixon for 5 yards (tackle by Roderic Teamer and Divine Deablo),,
2,2:19,2,5,LVR 11,6,13,Joe Mixon right end for 1 yard (tackle by Johnathan Hankins and Nate Hobbs),,
2,2:00,3,4,LVR 10,6,19,"Joe Burrow pass complete short right to Tyler Boyd for 10 yards, touchdown",,
2,1:51,,,LVR 15,6,20,Evan McPherson kicks extra point good,,
2,1:51,,,CIN 35,6,20,"Evan McPherson kicks off 61 yards, returned by Tyron Johnson for 16 yards (tackle by Michael Thomas)",,
2,1:45,1,10,LVR 20,6,20,Derek Carr pass incomplete short middle intended for Bryan Edwards,,
2,1:39,2,10,LVR 20,6,20,Derek Carr pass complete short middle to Hunter Renfrow for 7 yards (tackle by Logan Wilson),,
2,1:03,3,3,LVR 27,6,20,Derek Carr pass complete short middle to Bryan Edwards for 19 yards (tackle by Vonn Bell and Tre Flowers),,
2,0:55,1,10,LVR 46,6,20,Derek Carr pass incomplete short middle intended for Zay Jones,,
2,0:51,2,10,LVR 46,6,20,Derek Carr pass incomplete short right,,
2,0:46,3,10,LVR 46,6,20,Derek Carr scrambles left end for 20 yards (tackle by Logan Wilson),,
2,0:37,1,10,CIN 34,6,20,"Penalty on Mike Hilton: Defensive Holding, 5 yards (accepted)",,
