Quarter,Time,Tm,Detail,NYJ,HOU
1.0,8:53,Texans,Stacey Mack 10 yard rush (Kris Brown kick),0,7
2.0,14:56,Texans,Stacey Mack 1 yard rush (Kris Brown kick),0,14
,1:22,Jets,Santana Moss 18 yard pass from Vinny Testaverde (Doug Brien kick),7,14
3.0,1:36,Jets,Doug Brien 39 yard field goal,10,14
4.0,9:05,Jets,Doug Brien 30 yard field goal,13,14
,1:21,Jets,LaMont Jordan 8 yard rush (pass failed),19,14
